ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
guri1248,Guriaso,Papunesia,-3.5718,141.597,guri1248,grx,,,shifting,
pawa1255,Pawaia,Papunesia,-6.880210000000001,145.08100000000002,pawa1255,pwa,,,shifting,
guam1236,Guamo,South America,8.2351027,-67.4018753,guam1236,,,,extinct,
dama1272,Damal,Papunesia,-4.17345,137.496,dama1272,uhn,,,shifting,
puqu1242,Puquina,South America,-15.8992,-69.9611,puqu1242,puq,,,extinct,
kusu1250,Kusunda,Eurasia,28.33,82.6,kusu1250,kgg,,,nearly extinct,
vile1241,Vilela,South America,-27.4063,-58.9661,vile1241,vil,,,extinct,
tuni1252,Tunica,North America,30.9888,-92.5403,tuni1252,tun,,,extinct,
arut1244,Arutani,South America,4.0673594,-62.8676118,arut1244,atx,,,extinct,
yetf1238,Yetfa,Papunesia,-4.05884,140.653,yetf1238,yet,,,shifting,
movi1243,Movima,South America,-13.8115,-65.6348,movi1243,mzp,,,shifting,
tamb1257,Tambora,Papunesia,-8.25,118.0,tamb1257,xxt,,,extinct,
cuit1236,Cuitlatec,North America,18.1,-100.5,cuit1236,cuy,,,extinct,
muni1258,Muniche,South America,-5.7441796,-76.426712,muni1258,myr,,,nearly extinct,
taia1239,Taiap,Papunesia,-4.05047,144.506,taia1239,gpn,,,moribund,
chim1301,Chimariko,North America,41.0,-123.0,chim1301,cid,,,extinct,
klam1254,Klamath-Modoc,North America,42.5861,-121.704,klam1254,kla,,,extinct,
yuru1243,Yurumanguí,South America,3.436864,-76.522636,yuru1243,,,,extinct,
coah1252,Coahuilteco,North America,28.2589,-97.89,coah1252,xcw,,,extinct,
cayu1262,Cayubaba,South America,-13.2482,-65.4822,cayu1262,cyb,,,nearly extinct,
yama1264,Yámana,South America,-55.2748,-68.2648,yama1264,yag,,,nearly extinct,
kunz1244,Kunza,South America,-23.0,-69.0,kunz1244,kuz,,,extinct,
shom1245,Shom Peng,Eurasia,7.020989999999999,93.8064,shom1245,sii,,,shifting,
iber1250,Iberian,Eurasia,40.624,0.21240100000000003,iber1250,xib,,,extinct,
bira1253,Ongota,Africa,5.29807,37.025,bira1253,bxe,,,nearly extinct,
lule1238,Lule,South America,-25.221839000000003,-61.887818,lule1238,ule,,,extinct,
yele1255,Yele,Papunesia,-11.3796,154.127,yele1255,yle,,,shifting,
pele1245,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,ata,,,shifting,
iton1250,Itonama,South America,-12.804310000000001,-64.35748000000001,iton1250,ito,,,nearly extinct,
guai1237,Guaicurian,North America,24.1666666667,-110.3,guai1237,,,,extinct,
