Language	ISO 639-3	Glottocode	absolutive	ergative
Zoogocho Zapotec	zpq	zoog1238	True	True
Yuwaalaraay-Gamilaraay	kld	gami1243	True	True
Yuracaré	yuz	yura1255	True	True
Yulparija	NOCODE_Yulparija	yulp1239	True	True
Yorta Yorta	xyy	yort1237	True	True
Yora	mts	yora1241	True	True
Yogad	yog	yoga1237	True	True
Yir-Yoront	yiy	yiry1245	True	True
Yinggarda	yia	ying1247	True	True
Yindjibarndi	yij	yind1247	True	True
Yimas	yee	yima1243	True	True
Yidiny	yii	yidi1250	True	True
Yele	yle	yele1255	True	True
Yawuru	ywr	yawu1244	True	True
Yawa	yva	nucl1454	True	True
Yanomám	wca	yano1262	True	True
Yankunytjatjara	kdd	yank1247	True	True
Yandruwandha	ynd	yand1253	True	True
Yan-nhangu	jay	yann1237	True	True
Yamphu	ybi	yamp1242	True	True
Yaminahua	yaa	yami1256	True	True
Yalunka	yal	yalu1240	True	True
Yalarnnga	ylr	yala1262	True	True
Yakkha	ybh	yakk1236	True	True
Yakan	yka	yaka1277	True	True
Yagua	yad	yagu1244	True	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True
Wulguru	qgu	wulg1239	True	True
Wubuy	nuy	nung1290	True	True
Worrorra	wro	worr1237	True	True
Worimi	kda	wori1245	True	True
Woiwurrung	wyi	woiw1237	True	True
Wirangu	wgu	wira1265	True	True
Wipi	gdr	wipi1242	True	True
Wilson River (Grey Range)	nbx	ngur1261	True	True
Wichita	wic	wich1260	True	True
Western Tamang	tdg	west2415	True	True
Western Parbate Kham	kjl	west2420	True	True
Western Minyag	wmg	west2417	True	True
Western Canadian Inuktitut	ikt	west2618	True	True
West Tarangan	txn	west2538	True	True
West Coast Bajau	bdr	west2560	True	True
Wayu	vay	wayu1241	True	True
Wayana	way	waya1269	True	True
Warungu	wrg	waru1264	True	True
Warrwa	wwr	warr1258	True	True
Warrgamay	wgy	warr1255	True	True
Warray	wrz	wara1290	True	True
Warlpiri	wbp	warl1254	True	True
Warlmanpa	wrl	warl1255	True	True
Waris	wrs	wari1266	True	True
Warembori	wsa	ware1253	True	True
Wardaman	wrr	ward1246	True	True
Wanman	wbt	wanm1242	True	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True	True
Wambule	wme	wamb1257	True	True
Wambon	wms	wamb1259	True	True
Wambayan	wmb	wamb1258	True	True
Wallisian	wls	wall1257	True	True
Wakawaka	wkw	waka1274	True	True
Wajarri	wbv	waja1257	True	True
Waimiri-Atroari	atr	waim1253	True	True
Wageman	waq	wage1238	True	True
Wagdi	wbr	wagd1238	True	True
Wadjiginy	wdj	wadj1254	True	True
Vamale	mkt	vama1243	True	True
Vaiphei	vap	vaip1239	True	True
Vafsi	vaf	vafs1240	True	True
Vaeakau-Taumako	piv	pile1238	True	True
Usan	wnu	usan1239	True	True
Urartian	xur	urar1245	True	True
Umbuygamu	umg	umbu1256	True	True
Umbu-Ungu	ubu	umbu1258	True	True
Umatilla	uma	umat1237	True	True
Uduk	udu	uduk1239	True	True
Udi	udi	udii1243	True	True
Ubykh	uby	ubyk1235	True	True
Tz'utujil	tzj	tzut1248	True	True
Tweed-Albert	xjb	twee1234	True	True
Tuvalu	tvl	tuva1244	True	True
Tuparí	tpr	tupa1250	True	True
Tukang Besi North	khc	tuka1248	True	True
Tugen	tuy	tuge1241	True	True
Tsez	ddo	dido1241	True	True
Tsakhur	tkr	tsak1249	True	True
Tsafiki	cof	colo1256	True	True
Trumai	tpy	trum1247	True	True
Trió	tri	trio1238	True	True
Towa	tow	jeme1245	True	True
Totontepec Mixe	mto	toto1305	True	True
Torau	ttu	tora1259	True	True
Toposa	toq	topo1242	True	True
Tonsawang	tnw	tons1239	True	True
Toma	tod	toma1245	True	True
Tokelau	tkl	toke1240	True	True
Tojolabal	toj	tojo1241	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	True	True
Tlachichilco Tepehua	tpt	tlac1235	True	True
Tirma-Chai	suq	suri1267	True	True
Tilung	tij	tilu1238	True	True
Ticuna	tca	ticu1245	True	True
Thao	ssf	thao1240	True	True
Thangmi	thf	than1259	True	True
Thado Chin	tcz	thad1238	True	True
Texistepec Popoluca	poq	texi1237	True	True
Teribe	tfr	teri1250	True	True
Tennet	tex	tenn1246	True	True
Tedim Chin	ctd	tedi1235	True	True
Tauya	tya	tauy1241	True	True
Tatana	txx	tata1257	True	True
Tapieté	tpj	tapi1253	True	True
Tangwang	NOCODE_Tangwang	tang1373	True	True
Tanacross	tcb	tana1290	True	True
Taiap	gpn	taia1239	True	True
Tabo	knv	tabo1241	True	True
Tabasco Chontal	chf	taba1266	True	True
Sydney	xdk	sydn1236	True	True
Svan	sva	svan1243	True	True
Surigaonon	sgd	suri1273	True	True
Surgut Khanty	NOCODE_Surgut-Khanty	surg1248	True	True
Sunwar	suz	sunw1242	True	True
Sumerian	sux	sume1241	True	True
Sula	szn	sula1248	True	True
Stau-Dgebshes	ero	horp1239	True	True
Squamish	squ	squa1248	True	True
