Language	ISO 639-3	Glottocode	passive	transitivity	valence
Zoogocho Zapotec	zpq	zoog1238	True	True	True
Yuracaré	yuz	yura1255	True	True	True
Yuchi	yuc	yuch1247	True	True	True
Yopno	yut	yopn1238	True	True	True
Yonggom	yon	yong1280	True	True	True
Yeri	yev	yapu1240	True	True	True
Yecuatla Totonac	tlc	yecu1235	True	True	True
Ye'kwana	mch	maqu1238	True	True	True
Yanomám	wca	yano1262	True	True	True
Yanda Dom Dogon	dym	yand1257	True	True	True
Yaminahua	yaa	yami1256	True	True	True
Yalunka	yal	yalu1240	True	True	True
Yakan	yka	yaka1277	True	True	True
Yagua	yad	yagu1244	True	True	True
Wuvulu-Aua	wuv	wuvu1239	True	True	True
Wunambal	wub	wuna1249	True	True	True
Wubuy	nuy	nung1290	True	True	True
Wolane	wle	wola1253	True	True	True
Woi	wbw	woii1237	True	True	True
Western Parbate Kham	kjl	west2420	True	True	True
Western Karaboro	kza	west2466	True	True	True
West Coast Bajau	bdr	west2560	True	True	True
Warungu	wrg	waru1264	True	True	True
Warrwa	wwr	warr1258	True	True	True
Wagdi	wbr	wagd1238	True	True	True
Vera'a	vra	vera1241	True	True	True
Vaeakau-Taumako	piv	pile1238	True	True	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	True	True
Uru	ure	uruu1244	True	True	True
Upper Tanana	tau	uppe1437	True	True	True
Upper Necaxa Totonac	tku	uppe1275	True	True	True
Ughele	uge	ughe1237	True	True	True
Tuwuli	bov	tuwu1238	True	True	True
Tuwali Ifugao	ifk	tuwa1243	True	True	True
Tugen	tuy	tuge1241	True	True	True
Tsonga	tso	tson1249	True	True	True
Tshobdun	NOCODE_Tshobdun	tsho1240	True	True	True
Tsakhur	tkr	tsak1249	True	True	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	True	True
Trumai	tpy	trum1247	True	True	True
Trió	tri	trio1238	True	True	True
Totontepec Mixe	mto	toto1305	True	True	True
Totela	ttl	tote1238	True	True	True
Toposa	toq	topo1242	True	True	True
Tonkawa	tqw	tonk1249	True	True	True
Tondano	tdn	tond1251	True	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	True	True	True
Tlachichilco Tepehua	tpt	tlac1235	True	True	True
Tirax	mme	maee1241	True	True	True
Ticuna	tca	ticu1245	True	True	True
Thao	ssf	thao1240	True	True	True
Thangmi	thf	than1259	True	True	True
Texistepec Popoluca	poq	texi1237	True	True	True
Teop	tio	teop1238	True	True	True
Tengger	tes	teng1272	True	True	True
Tawala	tbo	tawa1275	True	True	True
Tatuyo	tav	tatu1247	True	True	True
Tapieté	tpj	tapi1253	True	True	True
Tanaina	tfn	tana1289	True	True	True
Tanacross	tcb	tana1290	True	True	True
Tajio	tdj	taji1246	True	True	True
Taiap	gpn	taia1239	True	True	True
Svan	sva	svan1243	True	True	True
Southern Yukaghir	yux	sout2750	True	True	True
Southern Rengma Naga	nre	sout2732	True	True	True
Southern Qiang	qxs	sout2728	True	True	True
Southern Pomo	peq	sout2984	True	True	True
Southern Alta	agy	sout2905	True	True	True
Southeastern Tepehuan	stp	sout2976	True	True	True
South Wa	prk	para1301	True	True	True
South Nuaulu	nxl	sout2895	True	True	True
