Language	ISO 639-3	Glottocode	case_marker	case_prefix	case_suffix	comitative	instrumental	locative
Papapana	ppn	papa1265	True	True	True	True	True	True
Nyang'i	nyp	nyan1313	True	True	True	True	True	True
Nungali	nug	nung1291	True	True	True	True	True	True
Maung	mph	maun1240	True	True	True	True	True	True
Maricopa	mrc	mari1440	True	True	True	True	True	True
Kiliwa	klb	kili1268	True	True	True	True	True	True
Zaiwa	atb	zaiw1241	True	False	True	True	True	True
Yuwaalaraay-Gamilaraay	kld	gami1243	True	False	True	True	True	True
Yulparija	NOCODE_Yulparija	yulp1239	True	False	True	True	True	True
Yuki	yuk	yuki1243	True	False	True	True	True	True
Yorta Yorta	xyy	yort1237	True	False	True	True	True	True
Yir-Yoront	yiy	yiry1245	True	False	True	True	True	True
Yintyinka-Ayabadhu	ayd	ayab1239	True	False	True	True	True	True
Yimas	yee	yima1243	True	False	True	True	True	True
Yemsa	jnj	yems1235	True	False	True	True	True	True
Yawuru	ywr	yawu1244	True	False	True	True	True	True
Yauyos Quechua	qux	yauy1235	True	False	True	True	True	True
Yale	nce	yale1246	True	False	True	True	True	True
Yakkha	ybh	yakk1236	True	False	True	True	True	True
Xamtanga	xan	xamt1239	True	False	True	True	True	True
Wutunhua	wuh	wutu1241	True	False	True	True	True	True
Wubuy	nuy	nung1290	True	False	True	True	True	True
Wirangu	wgu	wira1265	True	False	True	True	True	True
Wilson River (Grey Range)	nbx	ngur1261	True	False	True	True	True	True
Western Tamang	tdg	west2415	True	False	True	True	True	True
West Yugur	ybe	west2402	True	False	True	True	True	True
Warungu	wrg	waru1264	True	False	True	True	True	True
Warray	wrz	wara1290	True	False	True	True	True	True
Warlmanpa	wrl	warl1255	True	False	True	True	True	True
Waris	wrs	wari1266	True	False	True	True	True	True
Wardaman	wrr	ward1246	True	False	True	True	True	True
Wappo	wao	wapp1239	True	False	True	True	True	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True	False	True	True	True	True
Wambule	wme	wamb1257	True	False	True	True	True	True
Wambon	wms	wamb1259	True	False	True	True	True	True
Wageman	waq	wage1238	True	False	True	True	True	True
Wagdi	wbr	wagd1238	True	False	True	True	True	True
Wagaya	wga	waga1260	True	False	True	True	True	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	False	True	True	True	True
Uru	ure	uruu1244	True	False	True	True	True	True
Urartian	xur	urar1245	True	False	True	True	True	True
Udihe	ude	udih1248	True	False	True	True	True	True
Ubykh	uby	ubyk1235	True	False	True	True	True	True
Tuparí	tpr	tupa1250	True	False	True	True	True	True
Tsamai	tsb	tsam1247	True	False	True	True	True	True
Totontepec Mixe	mto	toto1305	True	False	True	True	True	True
Tonkawa	tqw	tonk1249	True	False	True	True	True	True
