Language	ISO 639-3	Glottocode	possessed	possessive_marker	possessor_marked
Yanyuwa	jao	yany1243	True	True	True
Yale	nce	yale1246	True	True	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	True
Woi	wbw	woii1237	True	True	True
Western Subanon	suc	west2557	True	True	True
Vamale	mkt	vama1243	True	True	True
Trumai	tpy	trum1247	True	True	True
Trió	tri	trio1238	True	True	True
Tidore	tvo	tido1248	True	True	True
Tawala	tbo	tawa1275	True	True	True
Tapieté	tpj	tapi1253	True	True	True
Pukapuka	pkp	puka1242	True	True	True
Nukna	klt	nukn1238	True	True	True
Ninde	mwi	labo1244	True	True	True
Nanggu	ngr	nang1262	True	True	True
Mursi	muz	murs1242	True	True	True
Lower Chehalis	cea	lowe1427	True	True	True
Lewo	lww	lewo1242	True	True	True
Lele (Papua New Guinea)	lle	lele1270	True	True	True
Kilmeri	kih	kilm1241	True	True	True
Kakua	cbv	cacu1241	True	True	True
Japhug	NOCODE_Japhug	japh1234	True	True	True
Huambisa	hub	huam1247	True	True	True
Esselen	esq	esse1238	True	True	True
East Ambae	omb	east2443	True	True	True
Caac	msq	caac1237	True	True	True
Bunak	bfn	buna1278	True	True	True
Blablanga	blp	blab1237	True	True	True
Bilua	blb	bilu1245	True	True	True
Baure	brg	baur1253	True	True	True
Ashéninka Perené	prq	ashe1272	True	True	True
Amur Nivkh	niv	gily1242	True	True	True
Aguaruna	agr	agua1253	True	True	True
Adang	adn	adan1251	True	True	True
Àhàn	ahn	ahan1244	True	True	False
Zou	zom	zouu1235	True	True	False
Zoogocho Zapotec	zpq	zoog1238	True	True	False
Zimba	zmb	zimb1251	True	True	False
Zialo	zil	zial1235	True	True	False
Zauzou	zal	zauz1238	True	True	False
Yuracaré	yuz	yura1255	True	True	False
Yue Chinese	yue	yuec1235	True	True	False
Yucuna	ycn	yucu1253	True	False	True
Yongning Na	nru	yong1270	True	True	False
Yimas	yee	yima1243	True	True	False
Yeyi	yey	yeyi1239	True	True	False
Yemsa	jnj	yems1235	True	True	False
Ye'kwana	mch	maqu1238	True	True	False
Yau (Morobe Province)	yuw	yaum1237	True	False	True
Yapese	yap	yape1248	True	True	False
Yalunka	yal	yalu1240	True	True	False
Yakkha	ybh	yakk1236	True	True	False
Yagaria	ygr	yaga1260	True	True	False
Yabem	jae	yabe1254	True	True	False
Xishanba Lalo	ywt	xish1235	True	True	False
Xamtanga	xan	xamt1239	True	True	False
Western Xiangxi Miao	mmr	west2430	True	True	False
Western Victoria	NOCODE_Western-Victoria	west2443	True	False	True
Western Puroik	NOCODE_Western-Puroik	west2873	True	False	True
Western Parbate Kham	kjl	west2420	True	True	False
Western Minyag	wmg	west2417	True	True	False
Western Lawa	lcp	west2396	False	True	True
Western Canadian Inuktitut	ikt	west2618	True	True	False
West Yugur	ybe	west2402	True	True	False
Wersing	kvw	wers1238	True	True	False
Warembori	wsa	ware1253	True	True	False
Wardaman	wrr	ward1246	True	False	True
Wano	wno	wano1243	True	True	False
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True	False	True
Wamey	cou	wame1240	True	True	False
Wambule	wme	wamb1257	True	True	False
Wambayan	wmb	wamb1258	True	True	False
Waimiri-Atroari	atr	waim1253	True	True	False
Waima'a	wmh	waim1252	True	True	False
Wailaki	wlk	wail1244	True	True	False
Vurës	msn	vure1239	True	False	True
Ventureño	veo	vent1242	True	True	False
Vaeakau-Taumako	piv	pile1238	True	True	False
