Language	ISO 639-3	Glottocode	cardinals	quantifiers	reduced_numerals	reduced_system	small_numerals	small_system
Àhàn	ahn	ahan1244	True	True	False	False	False	False
Zabana	kji	zaba1237	True	True	False	False	False	False
Yuchi	yuc	yuch1247	True	True	False	False	False	False
Yemsa	jnj	yems1235	True	True	False	False	False	False
Yemba	ybb	yemb1246	True	True	False	False	False	False
Yawuru	ywr	yawu1244	True	True	False	False	False	False
Western Subanon	suc	west2557	True	True	False	False	False	False
Welsh	cym	wels1247	True	True	False	False	False	False
Warrwa	wwr	warr1258	True	True	False	False	False	False
Warlmanpa	wrl	warl1255	True	True	False	False	False	False
Waray (Philippines)	war	wara1300	True	True	False	False	False	False
Wandamen	wad	wand1267	True	True	False	False	False	False
Wanam Yelmek	NOCODE_Wanam	wana1273	False	True	False	False	True	False
Waima	rro	waim1251	True	True	False	False	False	False
Vaiphei	vap	vaip1239	True	True	False	False	False	False
Urhobo	urh	urho1239	True	True	False	False	False	False
Ukrainian	ukr	ukra1253	True	True	False	False	False	False
Ughele	uge	ughe1237	True	True	False	False	False	False
Udmurt	udm	udmu1245	True	True	False	False	False	False
Udihe	ude	udih1248	True	True	False	False	False	False
Ubykh	uby	ubyk1235	True	True	False	False	False	False
Tz'utujil	tzj	tzut1248	True	True	False	False	False	False
Tuwuli	bov	tuwu1238	True	True	False	False	False	False
Tikhak	NOCODE_Tikhak	tikh1243	True	True	False	False	False	False
Thangal Naga	nki	than1255	True	True	False	False	False	False
Tetum	tet	tetu1245	True	True	False	False	False	False
Tarok	yer	taro1263	True	True	False	False	False	False
Tamambo	mla	malo1243	True	True	False	False	False	False
Tafi	tcd	tafi1243	True	True	False	False	False	False
Svan	sva	svan1243	True	True	False	False	False	False
Supyire Senoufo	spp	supy1237	True	True	False	False	False	False
Sunwar	suz	sunw1242	True	True	False	False	False	False
Southern Alta	agy	sout2905	True	True	False	False	False	False
Soqotri	sqt	soqo1240	True	True	False	False	False	False
Skolt Sami	sms	skol1241	True	True	False	False	False	False
Sirajic	NOCODE_Sirajic	sira1263	True	True	False	False	False	False
Simte	smt	simt1238	True	True	False	False	False	False
Sidamo	sid	sida1246	True	True	False	False	False	False
Shwe Palaung	pll	shwe1236	True	True	False	False	False	False
Shekhawati	swv	shek1243	True	True	False	False	False	False
Shabo	sbf	shab1252	True	True	False	False	False	False
Selee	snw	sele1249	True	True	False	False	False	False
Sekpele	lip	sekp1241	True	True	False	False	False	False
Seke (Vanuatu)	ske	seke1241	True	True	False	False	False	False
Sawila	swt	sawi1256	True	True	False	False	False	False
Sawai	szw	sawa1247	True	True	False	False	False	False
Sarsi	srs	sars1236	True	True	False	False	False	False
Sambalpuri	spv	samb1325	True	True	False	False	False	False
Saliba	sbe	sali1295	True	True	False	False	False	False
Sa'a	apb	saaa1240	True	True	False	False	False	False
Rukai	dru	ruka1240	True	True	False	False	False	False
Riantana	ran	rian1263	True	True	False	False	False	False
Qimant	ahg	qima1242	True	True	False	False	False	False
Psikye	kvj	psik1239	True	True	False	False	False	False
Poumei Naga	pmx	poum1235	True	True	False	False	False	False
Potawatomi	pot	pota1247	True	True	False	False	False	False
Pijin	pis	piji1239	True	True	False	False	False	False
Pendau	ums	pend1242	True	True	False	False	False	False
Patwin	pwi	patw1250	True	True	False	False	False	False
Papapana	ppn	papa1265	True	True	False	False	False	False
Panamint	par	pana1305	True	True	False	False	False	False
Pahari Newari	phj	paha1257	True	True	False	False	False	False
Old Norse	non	oldn1244	True	True	False	False	False	False
Nzanyi	nja	nzan1240	True	True	False	False	False	False
Nyulnyul	nyv	nyul1247	True	True	False	False	False	False
Nyiha (Tanzania)	nih	nyih1240	True	True	False	False	False	False
Northern Tujia	tji	nort2732	True	True	False	False	False	False
Northeastern Thai	tts	nort2741	True	True	False	False	False	False
North Azerbaijani	azj	nort2697	True	True	False	False	False	False
Noon	snf	noon1242	True	True	False	False	False	False
Ngarinman	nbj	ngar1235	True	True	False	False	False	False
Ngardi	rxd	ngar1288	True	True	False	False	False	False
Narungga	nnr	naru1238	True	True	False	False	False	False
Namakura	nmk	nama1268	True	True	False	False	False	False
Mpur	akc	mpur1239	True	True	False	False	False	False
Moyon	nmo	moyo1238	True	True	False	False	False	False
Momu-Fas	fqs	fass1245	True	True	False	False	False	False
Mmen	bfm	mmen1238	True	True	False	False	False	False
Miya	mkf	miya1266	True	True	False	False	False	False
Minigir	vmg	mini1251	True	True	False	False	False	False
Mingrelian	xmf	ming1252	True	True	False	False	False	False
Mekeo	mek	meke1243	True	True	False	False	False	False
Mehri	gdq	mehr1241	True	True	False	False	False	False
Masbatenyo	msb	masb1238	True	True	False	False	False	False
Masalit	mls	nucl1440	True	True	False	False	False	False
Marshallese	mah	mars1254	True	True	False	False	False	False
Mao Naga	nbi	maon1238	True	True	False	False	False	False
Mann	mev	mann1248	True	True	False	False	False	False
Manda-Matumba	mgs	mand1423	True	True	False	False	False	False
Male (Ethiopia)	mdy	male1284	True	True	False	False	False	False
Malavedan	mjr	mala1463	True	True	False	False	False	False
Macedonian	mkd	mace1250	True	True	False	False	False	False
Logba	lgq	logb1245	True	True	False	False	False	False
Lishán Didán	trg	lish1246	True	True	False	False	False	False
Lillooet	lil	lill1248	True	True	False	False	False	False
Libido	liq	libi1250	True	True	False	False	False	False
Liangmai Naga	njn	lian1251	True	True	False	False	False	False
Lezghian	lez	lezg1247	True	True	False	False	False	False
Lewo	lww	lewo1242	True	True	False	False	False	False
Leti (Indonesia)	lti	leti1246	True	True	False	False	False	False
Lelemi	lef	lele1264	True	True	False	False	False	False
Larteh	lar	lart1238	True	True	False	False	False	False
Lao	lao	laoo1244	True	True	False	False	False	False
Lamkang	lmk	lamk1238	True	True	False	False	False	False
Lamang	hia	lama1288	True	True	False	False	False	False
Lakkia	lbc	lakk1238	True	True	False	False	False	False
Laari	ldi	laar1238	True	True	False	False	False	False
Kwini	gww	kwin1241	True	True	False	False	False	False
Koyraboro Senni Songhai	ses	koyr1242	True	True	False	False	False	False
Koyra Chiini Songhay	khq	koyr1240	True	True	False	False	False	False
Koy Sanjaq Jewish Neo-Aramaic	kqd	koys1242	True	True	False	False	False	False
Kosraean	kos	kosr1238	True	True	False	False	False	False
Konso	kxc	kons1243	True	True	False	False	False	False
Kokota	kkk	koko1269	True	True	False	False	False	False
Koho	kpm	koho1244	True	True	False	False	False	False
Kipsigis	sgc	kips1239	True	True	False	False	False	False
Khoibu	nkb	khoi1251	True	True	False	False	False	False
Khezha Naga	nkh	khez1235	True	True	False	False	False	False
Kharia	khr	khar1287	True	True	False	False	False	False
Kgalagadi	xkv	kgal1244	True	True	False	False	False	False
Kenuzi-Dongola	kzh	kenu1236	True	True	False	False	False	False
Keapara	khz	keap1239	True	True	False	False	False	False
Kashmiri	kas	kash1277	True	True	False	False	False	False
Karo (Ethiopia)	kxh	karo1297	True	True	False	False	False	False
