Language	ISO 639-3	Glottocode	comitative_causative	sociative
Tuparí	tpr	tupa1250	True	True
Cavineña	cav	cavi1250	True	True
Zou	zom	zouu1235	False	True
Zauzou	zal	zauz1238	False	True
Yekhee	ets	yekh1238	False	True
Yamphu	ybi	yamp1242	False	True
Yaminahua	yaa	yami1256	False	True
Wutunhua	wuh	wutu1241	False	True
Western Muria	mut	west2408	False	True
Western Bukidnon Manobo	mbb	west2555	False	True
Warungu	wrg	waru1264	False	True
War-Jaintia	aml	warj1242	False	True
Wambule	wme	wamb1257	False	True
Wagdi	wbr	wagd1238	False	True
Waddar	wbq	wadd1237	False	True
Vurës	msn	vure1239	False	True
Upper Sorbian	hsb	uppe1395	False	True
Udihe	ude	udih1248	True	False
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	False	True
Ts'ixa	NOCODE_Tsixa	tsix1234	False	True
Trió	tri	trio1238	False	True
Toda	tcx	toda1252	False	True
Tinani	lbf	tina1246	False	True
Tigre	tig	tigr1270	False	True
Tariana	tae	tari1256	False	True
Taiga Sayan Turkic	kim	kara1462	False	True
Sunwar	suz	sunw1242	False	True
Southern Yukaghir	yux	sout2750	False	True
Southern Rengma Naga	nre	sout2732	False	True
Southern Pumi	pmj	sout2729	False	True
Southern Alta	agy	sout2905	False	True
Sirajic	NOCODE_Sirajic	sira1263	False	True
Shughni	sgh	shug1248	False	True
Shipibo-Conibo	shp	ship1254	False	True
Shawi	cbt	chay1248	False	True
Sangtam Naga	nsa	sang1321	False	True
Sakha	sah	yaku1245	False	True
Ravula	yea	ravu1237	False	True
Rangkas	rgk	rang1266	False	True
Pnar	pbv	pnar1238	False	True
Phom Naga	nph	phom1236	False	True
Pengo	peg	peng1244	False	True
Pattani	lae	patt1248	False	True
Parecís	pab	pare1272	False	True
Paraguayan Guaraní	gug	para1311	False	True
Paniya	pcg	pani1256	False	True
Oluta Popoluca	plo	olut1240	False	True
Old Uighur	oui	oldu1238	False	True
Old Telugu	NOCODE_Old-Telugu	oldt1249	False	True
Old Tamil	oty	oldt1248	False	True
Old Russian	orv	oldr1238	False	True
Old Marathi	omr	oldm1244	False	True
Old Latin	qbb	oldl1238	False	True
Oirad-Kalmyk-Darkhat	xal	kalm1243	False	True
Nyakyusa-Ngonde	nyy	nyak1260	False	True
Nsong-Mpiin	soo	song1299	False	True
Nomatsiguenga	not	noma1263	False	True
Nihali	nll	niha1238	False	True
Ngizim	ngi	ngiz1242	False	True
