Language	ISO 639-3	Glottocode	occlusive	plosive	stop
Zenzontepec Chatino	czn	zenz1235	True	True	True
Zaiwa	atb	zaiw1241	True	True	True
Zacatepec Chatino	ctz	zaca1242	True	True	True
Yawuru	ywr	yawu1244	True	True	True
Yanomám	wca	yano1262	True	True	True
Wara	wbf	wara1292	True	True	True
Uru	ure	uruu1244	True	True	True
Upper Sorbian	hsb	uppe1395	True	True	True
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True	True	True
Tadaksahak	dsq	tada1238	True	True	True
Southern Aymara	ayc	sout2996	True	True	True
Siwi	siz	siwi1239	True	True	True
Senhaja De Srair	sjs	senh1238	True	True	True
Rutul	rut	rutu1240	True	True	True
Romagnol	rgn	roma1328	True	True	True
Prasun	prn	pras1239	True	True	True
Pattani	lae	patt1248	True	True	True
Ormuri	oru	ormu1247	True	True	True
Nopala Chatino	cya	nopa1235	True	True	True
Makhuwa-Saka	xsq	makh1266	True	True	True
Maco	wpc	maco1239	True	True	True
Maasina Fulfulde	ffm	maas1239	True	True	True
Leti (Indonesia)	lti	leti1246	True	True	True
Kumaoni	kfy	kuma1273	True	True	True
Khinalugh	kjj	khin1240	True	True	True
Khakas	kjh	khak1248	True	True	True
Kayardild	gyd	kaya1319	True	True	True
Kayan Lahwi	pdu	kaya1315	True	True	True
Istro Romanian	ruo	istr1245	True	True	True
Hadrami Arabic	ayh	hadr1236	True	True	True
Gyele	gyi	gyel1242	True	True	True
Guiqiong	gqi	guiq1238	True	True	True
Godoberi	gdo	ghod1238	True	True	True
Gilaki	glk	gila1241	True	True	True
Ghomara	gho	ghom1257	True	True	True
Gandhari	pgd	gand1259	True	True	True
Galibi Carib	car	gali1262	True	True	True
Forest Enets	enf	fore1265	True	True	True
Dzongkha	dzo	dzon1239	True	True	True
Cholón	cht	chol1284	True	True	True
Chamalal	cji	cham1309	True	True	True
Blablanga	blp	blab1237	True	True	True
Bezhta	kap	bezh1248	True	True	True
Bati (Cameroon)	btc	bati1251	True	True	True
Bambili-Bambui	baw	bamb1266	True	True	True
Archi	aqc	arch1244	True	True	True
Adyghe	ady	adyg1241	True	True	True
Àhàn	ahn	ahan1244	False	True	True
Zemba	dhm	zemb1238	False	True	True
Zayse-Zergulla	zay	zays1235	False	True	True
Zauzou	zal	zauz1238	False	True	True
Zakhring	zkr	zakh1243	False	True	True
Yuracaré	yuz	yura1255	False	True	True
Yucuna	ycn	yucu1253	False	True	True
Yoy	yoy	yoyy1238	False	True	True
Yonaguni	yoi	yona1241	False	True	True
Yinchia	yin	yinc1238	False	True	True
Yeyi	yey	yeyi1239	False	True	True
Yerukula	yeu	yeru1240	False	True	True
Yeri	yev	yapu1240	False	True	True
Yemsa	jnj	yems1235	False	True	True
Yaygir	xya	yayg1236	False	True	True
Yaweyuha	yby	yawe1241	False	True	True
Yamphu	ybi	yamp1242	False	True	True
Yaminahua	yaa	yami1256	False	True	True
Yami	tao	yami1254	False	True	True
Yakkha	ybh	yakk1236	False	True	True
Yagnobi	yai	yagn1238	False	True	True
Yaeyama	rys	yaey1239	False	True	True
Yaaku	muu	yaak1241	False	True	True
Xokleng	xok	xokl1240	False	True	True
Xhosa	xho	xhos1239	False	True	True
Xamtanga	xan	xamt1239	False	True	True
Wymysorys	wym	wymy1235	False	True	True
Wuvulu-Aua	wuv	wuvu1239	False	True	True
Wutung	wut	wutu1244	False	True	True
Wu Chinese	wuu	wuch1236	False	True	True
Wolane	wle	wola1253	False	True	True
Wirangu	wgu	wira1265	False	True	True
Westphalic	wep	west2356	False	True	True
Western Xiangxi Miao	mmr	west2430	False	True	True
Western Victoria	NOCODE_Western-Victoria	west2443	False	True	True
Western Sisaala	ssl	west2465	True	False	True
Western Puroik	NOCODE_Western-Puroik	west2873	False	True	True
Western Pantar	lev	lamm1241	False	True	True
Western Ojibwa	ojw	west1510	False	True	True
Western Lawa	lcp	west2396	False	True	True
Western Kayah	kyu	west2409	False	True	True
Western Karaboro	kza	west2466	False	True	True
Western Cham	cja	west2650	False	True	True
Western Balochi	bgn	west2368	False	True	True
West Yugur	ybe	west2402	False	True	True
West Coast Bajau	bdr	west2560	False	True	True
West Berawan	zbw	west2564	False	True	True
Wersing	kvw	wers1238	False	True	True
Wayuu	guc	wayu1243	False	True	True
Wawa	www	wawa1246	False	True	True
Warluwara	wrb	warl1256	False	True	True
Warlmanpa	wrl	warl1255	True	False	True
Wari'	pav	wari1268	False	True	True
Wardaman	wrr	ward1246	True	False	True
Wano	wno	wano1243	False	True	True
Wanga	lwg	wang1294	False	True	True
Wandamen	wad	wand1267	False	True	True
Wanam Yelmek	NOCODE_Wanam	wana1273	False	True	True
Wambule	wme	wamb1257	False	True	True
Wambon	wms	wamb1259	False	True	True
Wallisian	wls	wall1257	False	True	True
Waimiri-Atroari	atr	waim1253	True	False	True
Waigeo	wgo	waig1244	False	True	True
Waata	ssn	waat1238	False	True	True
Vurës	msn	vure1239	False	True	True
Vinza	vin	vinz1238	False	True	True
Vengo	bav	veng1238	False	True	True
Venda	ven	vend1245	False	True	True
Vamale	mkt	vama1243	False	True	True
Ut-Main	gel	kagf1238	False	True	True
Usan	wnu	usan1239	False	True	True
Urubú-Kaapor	urb	urub1250	False	True	True
Uripiv-Wala-Rano-Atchin	upv	urip1239	False	True	True
Urim	uri	urim1252	False	True	True
Upper Tanana	tau	uppe1437	False	True	True
Upper Guinea Crioulo	pov	uppe1455	False	True	True
Unua	onu	unua1237	False	True	True
Uncunwee	ghl	ghul1238	False	True	True
Umbuygamu	umg	umbu1256	False	True	True
Ulwa	ulw	ulwa1239	False	True	True
Ulwa (Papua New Guinea)	yla	yaul1241	False	True	True
Ukrainian	ukr	ukra1253	False	True	True
Ugong	ugo	ugon1239	False	True	True
Ughele	uge	ughe1237	False	True	True
Uduk	udu	uduk1239	False	True	True
Udmurt	udm	udmu1245	False	True	True
Udihe	ude	udih1248	False	True	True
Ubykh	uby	ubyk1235	False	True	True
U	uuu	uuuu1243	True	False	True
Tübatulabal	tub	tuba1278	False	True	True
Tz'utujil	tzj	tzut1248	True	False	True
Tuvinian	tyv	tuvi1240	False	True	True
Tuvalu	tvl	tuva1244	False	True	True
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	True	False	True
Tunni	tqq	tunn1238	False	True	True
Tungag	lcm	tung1290	False	True	True
Tumbuka	tum	tumb1250	False	True	True
Tuki	bag	tuki1240	False	True	True
Tukang Besi North	khc	tuka1248	False	True	True
Tugen	tuy	tuge1241	False	True	True
Tsonga	tso	tson1249	False	True	True
Tsamai	tsb	tsam1247	False	True	True
Tsakhur	tkr	tsak1249	False	True	True
Trió	tri	trio1238	False	True	True
Toto	txo	toto1302	False	True	True
Totela	ttl	tote1238	False	True	True
Toro So Dogon	dts	toro1252	False	True	True
Tonga (Zambia)	toi	tong1318	False	True	True
Tondano	tdn	tond1251	False	True	True
Tommo So Dogon	dto	tomm1242	False	True	True
Tombonuo	txa	tomb1244	False	True	True
Toma	tod	toma1245	False	True	True
Toda	tcx	toda1252	False	True	True
Tobagonian Creole English	tgh	toba1282	False	True	True
To'abaita	mlu	toab1237	False	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	False	True	True
Tiv	tiv	tivv1240	False	True	True
Tirma-Chai	suq	suri1267	False	True	True
Tiri-Mea	cir	tiri1258	True	False	True
Tira	tic	tira1254	False	True	True
Tima	tms	tima1241	False	True	True
Tigre	tig	tigr1270	False	True	True
Tigon Mbembe	nza	tigo1236	False	True	True
Tiene	tii	tien1242	False	True	True
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	False	True	True
Tidore	tvo	tido1248	False	True	True
Thangmi	thf	than1259	False	True	True
Thangal Naga	nki	than1255	False	True	True
Tetum	tet	tetu1245	False	True	True
Ternate	tft	tern1247	False	True	True
Tequistlateco Chontal	NOCODE_Tequistlateco-Chontal	tequ1245	False	True	True
Teop	tio	teop1238	False	True	True
Tennet	tex	tenn1246	False	True	True
Tengger	tes	teng1272	False	True	True
Tenetehara	tqb	temb1276	False	True	True
Tena Lowland Quichua	quw	tena1240	False	True	True
Tehit	kps	tehi1237	True	False	True
Tayo	cks	tayo1238	False	True	True
Tawala	tbo	tawa1275	False	True	True
Tatana	txx	tata1257	False	True	True
Tataltepec Chatino	cta	tata1258	False	True	True
Tarok	yer	taro1263	False	True	True
Tapieté	tpj	tapi1253	True	False	True
Tanzanian Ngoni	xnj	tanz1241	False	True	True
Tangwang	NOCODE_Tangwang	tang1373	False	True	True
Tangale	tan	nucl1696	False	True	True
Tajio	tdj	taji1246	False	True	True
Tajik	tgk	taji1245	False	True	True
Taiga Sayan Turkic	kim	kara1462	False	True	True
Taiap	gpn	taia1239	False	True	True
Tai Laing	tjl	tail1248	False	True	True
Tagin	tgj	tagi1241	False	True	True
Sìcìté Sénoufo	sep	sici1249	False	True	True
Sãotomense	cri	saot1239	False	True	True
Sylheti	syl	sylh1242	False	True	True
Sundanese	sun	sund1252	False	True	True
Sumbawa	smw	sumb1241	False	True	True
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	False	True	True
Sulka	sua	sulk1246	False	True	True
Sula	szn	sula1248	False	True	True
Sudanese Creole Arabic	pga	suda1237	False	True	True
Sudanese Arabic	apd	suda1236	False	True	True
Subiya	sbs	subi1246	False	True	True
Suabo	szp	suab1238	False	True	True
Stoney	sto	ston1242	False	True	True
Stod Bhoti	sbu	stod1241	False	True	True
Stau-Dgebshes	ero	horp1239	False	True	True
Squamish	squ	squa1248	False	True	True
Spiti Bhoti	spt	spit1240	False	True	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	False	True	True
Southern Yukaghir	yux	sout2750	False	True	True
Southern Sotho	sot	sout2807	False	True	True
Southern Rengma Naga	nre	sout2732	False	True	True
Southern Qiang	qxs	sout2728	False	True	True
Southern Pumi	pmj	sout2729	False	True	True
Southern Pomo	peq	sout2984	False	True	True
Southern Dong	kmc	sout2741	False	True	True
Southern Conchucos Ancash Quechua	qxo	sout2992	False	True	True
Southern Bobo Madaré	bwq	sout2840	False	True	True
Southeast Pashayi	psi	sout2672	False	True	True
South-Eastern Ju	ktz	juho1239	False	True	True
South Wa	prk	para1301	False	True	True
South Levantine Arabic	ajp	sout3123	False	True	True
South Fali	fal	sout2782	False	True	True
Sougb	mnx	mani1235	False	True	True
Soqotri	sqt	soqo1240	False	True	True
Soo	teu	sooo1256	False	True	True
Sonsorol	sov	sons1242	False	True	True
Soga	xog	soga1242	False	True	True
Sochiapam Chinantec	cso	soch1239	False	True	True
Slovenian	slv	slov1268	True	False	True
Skou	skv	nucl1634	False	True	True
Skolt Sami	sms	skol1241	False	True	True
Siwu	akp	siwu1238	False	True	True
Situ	tzi	situ1238	False	True	True
Sirva	sbq	sile1255	False	True	True
Siraya	fos	sira1267	True	False	True
Sirajic	NOCODE_Sirajic	sira1263	False	True	True
Sipacapense	qum	sipa1247	True	False	True
Sinasina	sst	sina1271	False	True	True
Simte	smt	simt1238	False	True	True
Simbo	sbb	simb1256	False	True	True
Sikaiana	sky	sika1261	False	True	True
Sika	ski	sika1262	False	True	True
Sierra de Juárez Zapotec	zaa	sier1250	False	True	True
Sidamo	sid	sida1246	False	True	True
Sichuan Yi	iii	sich1238	False	True	True
Siar-Lak	sjr	siar1238	False	True	True
Shughni	sgh	shug1248	True	False	True
Shixing	sxg	shix1238	False	True	True
Shipibo-Conibo	shp	ship1254	False	True	True
Shihhi Arabic	ssh	shih1239	False	True	True
Sheko	she	shek1245	False	True	True
Shawi	cbt	chay1248	False	True	True
Shabo	sbf	shab1252	False	True	True
Seselwa Creole French	crs	sese1246	False	True	True
