Language	ISO 639-3	Glottocode	nasal_consonant	occlusive	oral_consonant	plosive	stop
Yawuru	ywr	yawu1244	True	True	True	True	True
Wara	wbf	wara1292	True	True	True	True	True
Upper Sorbian	hsb	uppe1395	True	True	True	True	True
Maco	wpc	maco1239	True	True	True	True	True
Maasina Fulfulde	ffm	maas1239	True	True	True	True	True
Gyele	gyi	gyel1242	True	True	True	True	True
Zenzontepec Chatino	czn	zenz1235	True	True	False	True	True
Zacatepec Chatino	ctz	zaca1242	True	True	False	True	True
Yanomám	wca	yano1262	True	True	False	True	True
Wutung	wut	wutu1244	True	False	True	True	True
Uru	ure	uruu1244	True	True	False	True	True
Tunni	tqq	tunn1238	True	False	True	True	True
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True	True	False	True	True
Totela	ttl	tote1238	True	False	True	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	True	False	True	True	True
Tenetehara	tqb	temb1276	True	False	True	True	True
Tapieté	tpj	tapi1253	True	True	True	False	True
Southern Bobo Madaré	bwq	sout2840	True	False	True	True	True
Southern Aymara	ayc	sout2996	True	True	False	True	True
Skou	skv	nucl1634	True	False	True	True	True
Selee	snw	sele1249	True	False	True	True	True
Romagnol	rgn	roma1328	True	True	False	True	True
Pattani	lae	patt1248	True	True	False	True	True
Ormuri	oru	ormu1247	True	True	False	True	True
Oko-Eni-Osayen	oks	okoe1238	True	False	True	True	True
Nyangbo	nyb	nyan1302	True	False	True	True	True
Northern Pame	pmq	nort2984	True	False	True	True	True
Nopala Chatino	cya	nopa1235	True	True	False	True	True
Nkami	nkq	nkam1239	True	False	True	True	True
Mono (Democratic Republic of Congo)	mnh	mono1270	True	False	True	True	True
Mamaindé	wmd	mama1278	True	False	True	True	True
Lumun	lmd	lumu1239	True	False	True	True	True
Lelemi	lef	lele1264	True	False	True	True	True
Kuria	kuj	kuri1259	True	False	True	True	True
Kumaoni	kfy	kuma1273	True	True	False	True	True
Kotiria	gvc	guan1269	True	False	True	True	True
Koshin	kid	kosh1246	True	False	True	True	True
Koromfé	kfz	koro1298	True	False	True	True	True
Khinalugh	kjj	khin1240	True	True	False	True	True
Khana	ogo	khan1278	True	False	True	True	True
Kayan Lahwi	pdu	kaya1315	True	True	False	True	True
Karitiâna	ktn	kari1311	True	False	True	True	True
Kalabari	ijn	kala1381	True	False	True	True	True
Iban	iba	iban1264	True	False	True	True	True
Girirra	gii	giri1245	True	False	True	True	True
Gilaki	glk	gila1241	True	True	False	True	True
Gandhari	pgd	gand1259	True	True	False	True	True
Eton-Mengisa	eto	eton1253	True	False	True	True	True
East Nyala	nle	east2409	True	False	True	True	True
Dzongkha	dzo	dzon1239	True	True	False	True	True
Cholón	cht	chol1284	True	True	False	True	True
Belep	yly	nyal1254	True	False	True	True	True
Befang	bby	befa1241	True	False	True	True	True
Bati (Cameroon)	btc	bati1251	True	True	False	True	True
Bambili-Bambui	baw	bamb1266	True	True	False	True	True
Àhàn	ahn	ahan1244	True	False	False	True	True
Zaiwa	atb	zaiw1241	False	True	False	True	True
Yonaguni	yoi	yona1241	True	False	False	True	True
Yeyi	yey	yeyi1239	True	False	False	True	True
Yaygir	xya	yayg1236	True	False	False	True	True
Yamphu	ybi	yamp1242	True	False	False	True	True
Yaminahua	yaa	yami1256	True	False	False	True	True
Yakkha	ybh	yakk1236	True	False	False	True	True
Xokleng	xok	xokl1240	True	False	False	True	True
Wuvulu-Aua	wuv	wuvu1239	True	False	False	True	True
Western Xiangxi Miao	mmr	west2430	True	False	False	True	True
Western Pantar	lev	lamm1241	True	False	False	True	True
Western Karaboro	kza	west2466	True	False	False	True	True
West Yugur	ybe	west2402	True	False	False	True	True
West Coast Bajau	bdr	west2560	True	False	False	True	True
West Berawan	zbw	west2564	True	False	False	True	True
Warlmanpa	wrl	warl1255	True	True	False	False	True
Wari'	pav	wari1268	True	False	False	True	True
Wambule	wme	wamb1257	True	False	False	True	True
Wallisian	wls	wall1257	True	False	False	True	True
Ut-Main	gel	kagf1238	True	False	False	True	True
Urubú-Kaapor	urb	urub1250	True	False	False	True	True
Uripiv-Wala-Rano-Atchin	upv	urip1239	True	False	False	True	True
Upper Tanana	tau	uppe1437	True	False	False	True	True
Unua	onu	unua1237	True	False	False	True	True
Umbuygamu	umg	umbu1256	True	False	False	True	True
Ulwa	ulw	ulwa1239	True	False	False	True	True
Ugong	ugo	ugon1239	True	False	False	True	True
Uduk	udu	uduk1239	True	False	False	True	True
Tübatulabal	tub	tuba1278	True	False	False	True	True
Tuvinian	tyv	tuvi1240	True	False	False	True	True
Tuparí	tpr	tupa1250	True	False	True	False	True
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	True	True	False	False	True
Tumbuka	tum	tumb1250	True	False	False	True	True
Trió	tri	trio1238	True	False	False	True	True
Toto	txo	toto1302	True	False	False	True	True
Toro So Dogon	dts	toro1252	True	False	False	True	True
Tondano	tdn	tond1251	True	False	False	True	True
Tombonuo	txa	tomb1244	False	False	True	True	True
Toma	tod	toma1245	True	False	False	True	True
Toda	tcx	toda1252	True	False	False	True	True
Tobagonian Creole English	tgh	toba1282	True	False	False	True	True
To'abaita	mlu	toab1237	True	False	False	True	True
Tirma-Chai	suq	suri1267	True	False	False	True	True
Tima	tms	tima1241	True	False	False	True	True
Tigon Mbembe	nza	tigo1236	True	False	False	True	True
Tiene	tii	tien1242	True	False	False	True	True
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True	False	False	True	True
Tidore	tvo	tido1248	True	False	False	True	True
Ticuna	tca	ticu1245	True	False	True	False	True
Thangmi	thf	than1259	True	False	False	True	True
Tetum	tet	tetu1245	True	False	False	True	True
Ternate	tft	tern1247	True	False	False	True	True
