lenguas,valor argex5_1,valor argex5_2
Aguaruna,C,C
Apalaí,C,C
Apurinã,C,C
Arhuaco,C,B
Awa-Cuaiquer,C,C
Awetí,C,C
Ayacucho Quechua,C,C
Baure,C,C
Bora,C,C
Bororo,C,C
Cajamarca Quechua,C,C
Callawalla,C,C
Canela,C,B
Cavineña,C,B
Central Aymara,C,C
Chimila,C,B
Chipaya,C,C
Cholón,C,C
Cocama-Cocamilla,C,C
Cubeo,C,C
Cusco Quechua,C,C
Desano,C,C
Dâw,C,C
Emerillon,C,C
Gavião Do Jiparaná,C,C
Guató,C,C
Hixkaryána,C,C
Huallaga Huánuco Quechua,C,C
Huangascar-Topara-Yauyos Quechua,C,C
Huaylas Ancash Quechua,C,C
Hupdë,C,C
Ikpeng,C,C
Imbabura Highland Quichua,C,C
Inga,C,C
Itonama,C,C
Jamamadí,C,C
Jaqaru,C,C
Jauja Wanca Quechua,C,C
Jurúna,C,C
Kamayurá,C,C
Kanoê,C,C
Karitiâna,C,C
Karo (Brazil),C,C
Katukína-Kanamarí,C,B
Kwaza,C,C
Lakondê,C,C
Leco,C,C
Lokono,C,C
Makuráp,C,C
Mapudungun,C,C
Matsés,C,B
Mochica,C,C
Mocoví,C,C
Mosetén,C,C
Movima,C,C
Mundurukú,C,C
Muniche,C,C
Nhengatu,C,C
Ninam,C,B
North Junín Quechua,C,C
Northern Emberá,B,B
Pacaraos Quechua,C,C
Parecís,C,C
Pilagá,C,C
Puinave,C,B
Páez,C,C
Rikbaktsa,C,C
Sabanê,C,C
Sakirabia,C,C
Salasaca Highland Quichua,C,C
San Martín Quechua,C,C
Santiago del Estero Quichua,C,C
Sateré-Mawé,C,C
Shawi,C,B
Shipibo-Conibo,C,B
Shuar,B,B
South Bolivian Quechua,C,C
Southern Pastaza Quechua,C,C
Tapieté,C,C
Tariana,C,C
Tehuelche,B,B
Tena Lowland Quichua,C,C
Trió,C,C
Trumai,C,B
Tsafiki,C,C
Urarina,C,C
Uru,C,C
Warao,C,C
Wari,C,C
Wayoró,C,C
Wichí Lhamtés Nocten,C,C
Xavánte,C,C
Yaminahua,C,B
Yanesha',C,C
Yuracaré,C,C
