id,family_id,name,iso639P3code,aes,population
aari1238,sout2845,Aari-Gayil,aiz,unk,-1
aari1239,sout2845,Aari,aiw,Not Endangered,298300
aari1240,book1242,Aariya,aay,unk,-1
aasa1238,afro1255,Aasax,aas,10 (Extinct),0
abad1241,aust1307,Abadi,kbt,Not Endangered,2900
abag1245,nucl1709,Abaga,abg,8b (Nearly extinct),600
abai1240,aust1307,Abai Sungai,abf,7 (Shifting),500
aban1242,atla1278,Abanyom,abm,Not Endangered,12500
abar1238,atla1278,Mungbam,mij,7 (Shifting),1850
abau1245,sepi1257,Abau,aau,7 (Shifting),7500
abaz1241,abkh1242,Abaza,abq,6b (Threatened),49800
abee1242,atla1278,Abé,aba,Not Endangered,268000
aben1249,aust1307,Abenlen Ayta,abp,7 (Shifting),3000
abid1235,atla1278,Abidji,abi,Not Endangered,85000
abin1243,abin1243,Abinomn,bsa,7 (Shifting),300
abip1241,guai1249,Abipon,axb,10 (Extinct),0
abis1238,abis1238,Aewa,ash,10 (Extinct),0
abkh1244,abkh1242,Abkhaz,abk,6b (Threatened),190110
abom1238,anim1240,Abom,aob,8b (Nearly extinct),15
abon1238,atla1278,Abon,abo,6b (Threatened),1000
abro1238,atla1278,Abron,abr,Not Endangered,1393000
abua1244,atla1278,Abua,abn,Not Endangered,25000
abua1245,nucl1708,Abu' Arapesh,aah,7 (Shifting),2560
abui1241,timo1261,Abui,abz,7 (Shifting),16000
abun1252,abun1252,Abun,kgr,7 (Shifting),3000
abur1243,atla1278,Abure,abu,Not Endangered,93000
abur1244,atla1278,Abureni,mgj,Not Endangered,4000
abuu1241,lowe1437,Abu,ado,7 (Shifting),4200
acat1239,otom1299,Acatepec Me'phaa,tpx,Not Endangered,40200
acha1249,sino1245,Longchuan Achang,acn,7 (Shifting),62700
acha1250,araw1281,Achagua,aca,7 (Shifting),250
ache1244,sino1245,Ache,yif,6b (Threatened),35000
ache1245,narr1279,Acheron,acz,6b (Threatened),20000
ache1246,tupi1275,Aché,guq,8a (Moribund),910
achi1256,maya1287,Achi,acr,6b (Threatened),124000
