Language	ISO 639-3	Glottocode	animacy	classifier	gender	nominal_classification	noun_class
Zauzou	zal	zauz1238	True	True	True	True	True
Yuracaré	yuz	yura1255	True	True	True	True	True
Wunambal	wub	wuna1249	True	True	True	True	True
Wubuy	nuy	nung1290	True	True	True	True	True
Worrorra	wro	worr1237	True	True	True	True	True
Waigeo	wgo	waig1244	True	True	True	True	True
Tigon Mbembe	nza	tigo1236	True	True	True	True	True
Taulil	tuh	taul1251	True	True	True	True	True
Tariana	tae	tari1256	True	True	True	True	True
Skou	skv	nucl1634	True	True	True	True	True
Shawi	cbt	chay1248	True	True	True	True	True
Selee	snw	sele1249	True	True	True	True	True
Sekpele	lip	sekp1241	True	True	True	True	True
Savosavo	svs	savo1255	True	True	True	True	True
Rembarunga	rmb	remb1249	True	True	True	True	True
Piaroa	pid	piar1243	True	True	True	True	True
Parecís	pab	pare1272	True	True	True	True	True
Pamosu	hih	pamo1253	True	True	True	True	True
Paluai	blq	balu1257	True	True	True	True	True
Oluta Popoluca	plo	olut1240	True	True	True	True	True
Nyulnyul	nyv	nyul1247	True	True	True	True	True
North Ambrym	mmg	nort2839	True	True	True	True	True
Nkami	nkq	nkam1239	True	True	True	True	True
Ngalakan	nig	ngal1293	True	True	True	True	True
Ndengereko	ndg	nden1248	True	True	True	True	True
Nangikurrunggurr	nam	nang1259	True	True	True	True	True
Murui Huitoto	huu	muru1274	True	True	True	True	True
Movima	mzp	movi1243	True	True	True	True	True
Moskona	mtj	mosk1236	True	True	True	True	True
Min Bei Chinese	mnp	minb1244	True	True	True	True	True
Mian	mpt	mian1256	True	True	True	True	True
Meyah	mej	meya1236	True	True	True	True	True
Maung	mph	maun1240	True	True	True	True	True
Maijiki	ore	orej1242	True	True	True	True	True
Maco	wpc	maco1239	True	True	True	True	True
Maasina Fulfulde	ffm	maas1239	True	True	True	True	True
Lelepa	lpa	lele1267	True	True	True	True	True
Lavukaleve	lvk	lavu1241	True	True	True	True	True
Lao	lao	laoo1244	True	True	True	True	True
Kwaza	xwa	kwaz1243	True	True	True	True	True
Kuot	kto	kuot1243	True	True	True	True	True
Kunbarlang	wlg	kunb1251	True	True	True	True	True
Kotiria	gvc	guan1269	True	True	True	True	True
Kola	kvv	kola1285	True	True	True	True	True
Kamu	xmu	kamu1258	True	True	True	True	True
Kakua	cbv	cacu1241	True	True	True	True	True
Hup	jup	hupd1244	True	True	True	True	True
Gusii	guz	gusi1247	True	True	True	True	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	True	True	True	True
Gooniyandi	gni	goon1238	True	True	True	True	True
Garifuna	cab	gari1256	True	True	True	True	True
Gagadu	gbu	gaga1251	True	True	True	True	True
Farefare	gur	fare1241	True	True	True	True	True
Ersu	ers	ersu1241	True	True	True	True	True
Emai-Iuleha-Ora	ema	emai1241	True	True	True	True	True
Edolo	etr	edol1239	True	True	True	True	True
Dâw	kwa	daww1239	True	True	True	True	True
Desano	des	desa1247	True	True	True	True	True
Cubeo	cub	cube1242	True	True	True	True	True
Cicipu	awc	cici1237	True	True	True	True	True
Chakali	cli	chak1271	True	True	True	True	True
Burmeso	bzu	burm1264	True	True	True	True	True
Bunak	bfn	buna1278	True	True	True	True	True
Bora	boa	bora1263	True	True	True	True	True
Baure	brg	baur1253	True	True	True	True	True
Batuley	bay	batu1258	True	True	True	True	True
Bardi	bcj	bard1255	True	True	True	True	True
Bandial	bqj	band1340	True	True	True	True	True
Araona	aro	arao1248	True	True	True	True	True
Anindilyakwa	aoi	anin1240	True	True	True	True	True
Amur Nivkh	niv	gily1242	True	True	True	True	True
Yuki	yuk	yuki1243	True	True	True	False	True
Yucuna	ycn	yucu1253	True	True	True	False	True
Yuchi	yuc	yuch1247	True	True	True	False	True
Yoy	yoy	yoyy1238	False	True	True	True	True
Yidiny	yii	yidi1250	True	True	True	False	True
Yeyi	yey	yeyi1239	True	True	True	False	True
Yawuru	ywr	yawu1244	True	True	True	False	True
Yanomám	wca	yano1262	True	True	True	False	True
Yagua	yad	yagu1244	True	True	True	False	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	True	False	True
Wuvulu-Aua	wuv	wuvu1239	True	True	True	False	True
Woi	wbw	woii1237	True	True	True	False	True
Western Xiangxi Miao	mmr	west2430	False	True	True	True	True
Western Parbate Kham	kjl	west2420	True	True	True	False	True
Western Karaboro	kza	west2466	True	False	True	True	True
West Tarangan	txn	west2538	True	True	True	False	True
Weri	wer	weri1253	True	True	True	False	True
Wayana	way	waya1269	True	True	False	True	True
Warray	wrz	wara1290	True	True	True	False	True
Wardaman	wrr	ward1246	True	True	True	False	True
Wallisian	wls	wall1257	True	True	True	False	True
Wagdi	wbr	wagd1238	True	True	True	False	True
Vurës	msn	vure1239	True	True	True	False	True
Vamale	mkt	vama1243	True	True	True	False	True
Upper Tanana	tau	uppe1437	True	True	True	False	True
Uduk	udu	uduk1239	True	True	True	False	True
Tz'utujil	tzj	tzut1248	True	True	True	False	True
Tuvalu	tvl	tuva1244	True	True	True	False	True
Tsat	huq	tsat1238	True	True	True	False	True
Tsafiki	cof	colo1256	False	True	True	True	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	True	True	False	True
Trió	tri	trio1238	True	True	True	False	True
Toro So Dogon	dts	toro1252	True	True	True	False	True
Tondano	tdn	tond1251	True	True	True	False	True
Tobelo	tlb	tobe1252	True	True	True	False	True
Titan	ttv	tita1241	True	True	True	False	True
Tiri-Mea	cir	tiri1258	True	True	False	True	True
Tima	tms	tima1241	True	True	True	False	True
Tidore	tvo	tido1248	False	True	True	True	True
Thao	ssf	thao1240	True	True	True	False	True
Thangmi	thf	than1259	True	True	True	False	True
Tetum	tet	tetu1245	True	True	True	False	True
Tepetotutla Chinantec	cnt	tepe1279	True	True	True	False	True
Tennet	tex	tenn1246	True	True	True	False	True
Tatuyo	tav	tatu1247	True	True	True	False	True
Tanimuca-Retuarã	tnc	tani1257	True	True	True	False	True
Tamambo	mla	malo1243	True	True	True	False	True
T'apo	lgn	opuu1239	True	True	True	False	True
Supyire Senoufo	spp	supy1237	True	True	True	False	True
Sulka	sua	sulk1246	False	True	True	True	True
Stau-Dgebshes	ero	horp1239	True	True	True	False	True
Southern Rengma Naga	nre	sout2732	True	True	True	False	True
Southern Qiang	qxs	sout2728	True	True	True	False	True
South Efate	erk	sout2856	True	True	True	False	True
Sochiapam Chinantec	cso	soch1239	True	True	True	False	True
Siona-Tetete	snn	sion1247	False	True	True	True	True
Siar-Lak	sjr	siar1238	True	True	True	False	True
Shipibo-Conibo	shp	ship1254	True	True	True	False	True
Sarsi	srs	sars1236	True	True	True	False	True
San Dionisio del Mar Huave	hve	sand1278	True	True	True	False	True
Saaroa	sxr	saar1237	True	True	True	False	True
Quapaw	qua	quap1242	True	True	True	False	True
Qaqet	byx	qaqe1238	False	True	True	True	True
Q'anjob'al	kjb	qanj1241	True	True	True	False	True
Popti'	jac	popt1235	True	True	True	False	True
Piscataway	psy	pisc1239	True	True	True	False	True
Pilagá	plg	pila1245	False	True	True	True	True
Papapana	ppn	papa1265	True	True	True	False	True
Panare	pbh	enap1235	True	True	True	False	True
Pahari Newari	phj	paha1257	True	True	True	False	True
Ocotepec Mixtec	mie	ocot1243	True	True	True	False	True
Northwestern Ojibwa	ojb	nort2961	True	True	True	False	True
