Language	ISO 639-3	Glottocode	high-unrounded
Ömie	aom	omie1241	True
Zinza	zin	zinz1238	True
Zimba	zmb	zimb1251	True
Zigula-Mushungulu	ziw	zigu1244	True
Zialo	zil	zial1235	True
Zenzontepec Chatino	czn	zenz1235	True
Zayse-Zergulla	zay	zays1235	True
Zauzou	zal	zauz1238	True
Zaiwa	atb	zaiw1241	True
Yuracaré	yuz	yura1255	True
Yulparija	NOCODE_Yulparija	yulp1239	True
Yuki	yuk	yuki1243	True
Yue Chinese	yue	yuec1235	True
Yuchi	yuc	yuch1247	True
Yoy	yoy	yoyy1238	True
Yorta Yorta	xyy	yort1237	True
Yongning Na	nru	yong1270	True
Yongnan Zhuang	zyn	yong1275	True
Yonaguni	yoi	yona1241	True
Yir-Yoront	yiy	yiry1245	True
Yintyinka-Ayabadhu	ayd	ayab1239	True
Yine	pib	yine1238	True
Yindjibarndi	yij	yind1247	True
Yinchia	yin	yinc1238	True
Yimas	yee	yima1243	True
Yidiny	yii	yidi1250	True
Yeyi	yey	yeyi1239	True
Yerukula	yeu	yeru1240	True
Yeri	yev	yapu1240	True
Yemsa	jnj	yems1235	True
Yemba	ybb	yemb1246	True
Yele	yle	yele1255	True
Yekhee	ets	yekh1238	True
Yecuatla Totonac	tlc	yecu1235	True
Ye'kwana	mch	maqu1238	True
Yawuru	ywr	yawu1244	True
Yauyos Quechua	qux	yauy1235	True
Yau (Morobe Province)	yuw	yaum1237	True
Yareba	yrb	yare1248	True
Yapese	yap	yape1248	True
Yanomám	wca	yano1262	True
Yanda Dom Dogon	dym	yand1257	True
Yamphu	ybi	yamp1242	True
Yami	tao	yami1254	True
Yalunka	yal	yalu1240	True
Yale	nce	yale1246	True
Yalarnnga	ylr	yala1262	True
Yala	yba	yala1263	True
Yakkha	ybh	yakk1236	True
Yagua	yad	yagu1244	True
Yaeyama	rys	yaey1239	True
Yabem	jae	yabe1254	True
Yaaku	muu	yaak1241	True
Xishanba Lalo	ywt	xish1235	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True
Xamtanga	xan	xamt1239	True
Wymysorys	wym	wymy1235	True
Wuvulu-Aua	wuv	wuvu1239	True
Wutunhua	wuh	wutu1241	True
Wutung	wut	wutu1244	True
Wunambal	wub	wuna1249	True
Wulguru	qgu	wulg1239	True
Wubuy	nuy	nung1290	True
Woun Meu	noa	woun1238	True
Worodougou	jud	woro1256	True
Woleaian	woe	wole1240	True
Woi	wbw	woii1237	True
Wiyot	wiy	wiyo1248	True
Wipi	gdr	wipi1242	True
Wilson River (Grey Range)	nbx	ngur1261	True
Westphalic	wep	west2356	True
Western Xiangxi Miao	mmr	west2430	True
Western Victoria	NOCODE_Western-Victoria	west2443	True
Western Tlacolula Valley Zapotec	zab	sanj1284	True
Western Sisaala	ssl	west2465	True
Western Puroik	NOCODE_Western-Puroik	west2873	True
Western Parbate Kham	kjl	west2420	True
Western Pantar	lev	lamm1241	True
Western Muria	mut	west2408	True
Western Minyag	wmg	west2417	True
Western Lawa	lcp	west2396	True
Western Keres	kjq	west2632	True
Western Karaboro	kza	west2466	True
Western Fijian	wyy	west2519	True
Western Dani	dnw	west2594	True
Western Cham	cja	west2650	True
West Yugur	ybe	west2402	True
West Tarangan	txn	west2538	True
West Kewa	kew	west2599	True
West Coast Bajau	bdr	west2560	True
West Berawan	zbw	west2564	True
Wersing	kvw	wers1238	True
Wayana	way	waya1269	True
Wawa	www	wawa1246	True
Watam	wax	wata1253	True
Warrnambool	gjm	warr1257	True
Warluwara	wrb	warl1256	True
Warlpiri	wbp	warl1254	True
Warlmanpa	wrl	warl1255	True
Waris	wrs	wari1266	True
Warembori	wsa	ware1253	True
Wardaman	wrr	ward1246	True
Waray (Philippines)	war	wara1300	True
Wara	wbf	wara1292	True
Wano	wno	wano1243	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True
Wanga	lwg	wang1294	True
Wandala	mfi	wand1278	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True
Wambule	wme	wamb1257	True
Wambon	wms	wamb1259	True
Wambayan	wmb	wamb1258	True
Walmajarri	wmt	walm1241	True
Wala	lgl	wala1266	True
Wakhi	wbl	wakh1245	True
Wajarri	wbv	waja1257	True
Waimiri-Atroari	atr	waim1253	True
Wailaki	wlk	wail1244	True
Wageman	waq	wage1238	True
Wagdi	wbr	wagd1238	True
Waffa	waj	waff1241	True
Wadjiginy	wdj	wadj1254	True
Waata	ssn	waat1238	True
Vwanji	wbi	vwan1235	True
Vute	vut	vute1244	True
Vurës	msn	vure1239	True
Votic	vot	voti1245	True
Vinza	vin	vinz1238	True
Ventureño	veo	vent1242	True
Vengo	bav	veng1238	True
Venetian	vec	vene1258	True
Vamale	mkt	vama1243	True
Vaiphei	vap	vaip1239	True
Vaghri	vgr	vagh1246	True
Vaeakau-Taumako	piv	pile1238	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True
