Language	ISO 639-3	Glottocode	liquid
Önge	oon	onge1236	True
Zuni	zun	zuni1245	True
Zulu	zul	zulu1248	True
Zulgo-Gemzek	gnd	zulg1242	True
Zou	zom	zouu1235	True
Zoroastrian Dari	gbz	zoro1242	True
Zoogocho Zapotec	zpq	zoog1238	True
Zigula-Mushungulu	ziw	zigu1244	True
Zialo	zil	zial1235	True
Zhangzhung	xzh	zhan1239	True
Zenzontepec Chatino	czn	zenz1235	True
Zayse-Zergulla	zay	zays1235	True
Zauzou	zal	zauz1238	True
Zarma-Kaado	dje	zarm1239	True
Zaniza Zapotec	zpw	zani1235	True
Zakhring	zkr	zakh1243	True
Zaiwa	atb	zaiw1241	True
Zacatepec Chatino	ctz	zaca1242	True
Zabana	kji	zaba1237	True
Yuwaalaraay-Gamilaraay	kld	gami1243	True
Yurok	yur	yuro1248	True
Yuracaré	yuz	yura1255	True
Yukuben	ybl	yuku1243	True
Yuki	yuk	yuki1243	True
Yue Chinese	yue	yuec1235	True
Yucuna	ycn	yucu1253	True
Yuchi	yuc	yuch1247	True
Yucatec Maya	yua	yuca1254	True
Yoy	yoy	yoyy1238	True
Younuo Bunu	buh	youn1235	True
Yosondúa Mixtec	mpm	yoso1239	True
Yoruba	yor	yoru1245	True
Yora	mts	yora1241	True
Yopno	yut	yopn1238	True
Yonggom	yon	yong1280	True
Yonaguni	yoi	yona1241	True
Yom	pil	yomm1242	True
Yokuts	yok	yoku1256	True
Yir-Yoront	yiy	yiry1245	True
Yintyinka-Ayabadhu	ayd	ayab1239	True
Yinggarda	yia	ying1247	True
Yine	pib	yine1238	True
Yindjibarndi	yij	yind1247	True
Yinchia	yin	yinc1238	True
Yimas	yee	yima1243	True
Yidiny	yii	yidi1250	True
Yeyi	yey	yeyi1239	True
Yerukula	yeu	yeru1240	True
Yeri	yev	yapu1240	True
Yemsa	jnj	yems1235	True
Yemba	ybb	yemb1246	True
Yele	yle	yele1255	True
Yekhee	ets	yekh1238	True
Yecuatla Totonac	tlc	yecu1235	True
Ye'kwana	mch	maqu1238	True
Yaygir	xya	yayg1236	True
Yawuru	ywr	yawu1244	True
Yaweyuha	yby	yawe1241	True
Yauyos Quechua	qux	yauy1235	True
Yau (Morobe Province)	yuw	yaum1237	True
Yapese	yap	yape1248	True
Yao	yao	yaoo1241	True
Yanyuwa	jao	yany1243	True
Yanomám	wca	yano1262	True
Yankunytjatjara	kdd	yank1247	True
Yanesha'	ame	yane1238	True
Yandruwandha	ynd	yand1253	True
Yanda Dom Dogon	dym	yand1257	True
Yana	ynn	yana1271	True
Yan-nhangu	jay	yann1237	True
Yamphu	ybi	yamp1242	True
Yaminahua	yaa	yami1256	True
Yami	tao	yami1254	True
Yalunka	yal	yalu1240	True
Yale	nce	yale1246	True
Yalarnnga	ylr	yala1262	True
Yala	yba	yala1263	True
Yakkha	ybh	yakk1236	True
Yakan	yka	yaka1277	True
Yagua	yad	yagu1244	True
Yagnobi	yai	yagn1238	True
Yagaria	ygr	yaga1260	True
Yaeyama	rys	yaey1239	True
Yabem	jae	yabe1254	True
Xishanba Lalo	ywt	xish1235	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True
Xiang Chinese	hsn	xian1251	True
Xhosa	xho	xhos1239	True
Xanaguía Zapotec	ztg	xana1235	True
Xamtanga	xan	xamt1239	True
Wymysorys	wym	wymy1235	True
Wuvulu-Aua	wuv	wuvu1239	True
Wutunhua	wuh	wutu1241	True
Wutung	wut	wutu1244	True
Wunambal	wub	wuna1249	True
Wulguru	qgu	wulg1239	True
Wubuy	nuy	nung1290	True
Wu Chinese	wuu	wuch1236	True
Woun Meu	noa	woun1238	True
Worrorra	wro	worr1237	True
Worimi	kda	wori1245	True
Woods Cree	cwd	wood1236	True
Wolof	wol	nucl1347	True
Woleaian	woe	wole1240	True
Wolaytta	wal	wola1242	True
Wolane	wle	wola1253	True
Woi	wbw	woii1237	True
Wiyot	wiy	wiyo1248	True
Wirangu	wgu	wira1265	True
Wiradhuri	wrh	wira1262	True
Wintu	wit	wint1259	True
Wik-Ngathana	wig	wikn1245	True
Wik-Mungkan	wim	wikm1247	True
Wichita	wic	wich1260	True
Westphalic	wep	west2356	True
Western Xiangxi Miao	mmr	west2430	True
Western Victoria	NOCODE_Western-Victoria	west2443	True
Western Tlacolula Valley Zapotec	zab	sanj1284	True
Western Tamang	tdg	west2415	True
Western Subanon	suc	west2557	True
Western Sisaala	ssl	west2465	True
Western Puroik	NOCODE_Western-Puroik	west2873	True
Western Parbate Kham	kjl	west2420	True
Western Pantar	lev	lamm1241	True
Western Panjabi	pnb	west2386	True
Western Ojibwa	ojw	west1510	True
Western Muria	mut	west2408	True
Western Minyag	wmg	west2417	True
Western Lawa	lcp	west2396	True
Western Keres	kjq	west2632	True
Western Kayah	kyu	west2409	True
Western Karaboro	kza	west2466	True
Western Juxtlahuaca Mixtec	jmx	west2643	True
Western Huasteca Nahuatl	nhw	west2624	True
Western Highland Chatino	ctp	west2644	True
Western Frisian	fry	west2354	True
Western Farsi	pes	west2369	True
Western Dani	dnw	west2594	True
Western Cham	cja	west2650	True
Western Canadian Inuktitut	ikt	west2618	True
Western Bru	brv	west2397	True
Western Balochi	bgn	west2368	True
Western Arrarnta	are	west2441	True
Western Abenaki	abe	west2630	True
West Yugur	ybe	west2402	True
West Makian	mqs	west2600	True
West Kewa	kew	west2599	True
West Coast Bajau	bdr	west2560	True
West Berawan	zbw	west2564	True
Wersing	kvw	wers1238	True
Weri	wer	weri1253	True
Welsh	cym	wels1247	True
Welsh Romani	rmw	wels1246	True
Wedau	wed	weda1241	True
Wayuu	guc	wayu1243	True
Wayu	vay	wayu1241	True
Wayana	way	waya1269	True
Wawa	www	wawa1246	True
Waurá	wau	waur1244	True
Wathawurrung	wth	wath1238	True
Waskia	wsk	wask1241	True
Warungu	wrg	waru1264	True
Warumungu	wrm	waru1265	True
Warrwa	wwr	warr1258	True
Warrnambool	gjm	warr1257	True
Warrgamay	wgy	warr1255	True
Warray	wrz	wara1290	True
Warluwara	wrb	warl1256	True
Warlpiri	wbp	warl1254	True
Warlmanpa	wrl	warl1255	True
Wari'	pav	wari1268	True
Wardaman	wrr	ward1246	True
Waray (Philippines)	war	wara1300	True
Warao	wba	wara1303	True
Wara	wbf	wara1292	True
Wappo	wao	wapp1239	True
Wapishana	wap	wapi1253	True
Waorani	auc	waor1240	True
Wano	wno	wano1243	True
Wanman	wbt	wanm1242	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True
Wanga	lwg	wang1294	True
Wandarang	wnd	wand1263	True
Wandamen	wad	wand1267	True
Wandala	mfi	wand1278	True
Wambule	wme	wamb1257	True
Wambon	wms	wamb1259	True
Wambayan	wmb	wamb1258	True
Walmajarri	wmt	walm1241	True
Wallisian	wls	wall1257	True
Wala	lgl	wala1266	True
Wakhi	wbl	wakh1245	True
Wakawaka	wkw	waka1274	True
Wajarri	wbv	waja1257	True
Waiwai	waw	waiw1244	True
Waimiri-Atroari	atr	waim1253	True
Waima'a	wmh	waim1252	True
Waigeo	wgo	waig1244	True
