Language	ISO 639-3	Glottocode	feet	finger	five	hand	numerals	quinary	toe
Yabem	jae	yabe1254	True	True	True	True	True	True	True
Western Karaboro	kza	west2466	True	True	True	True	True	True	True
Ulwa (Papua New Guinea)	yla	yaul1241	True	True	True	True	True	True	True
Titan	ttv	tita1241	True	True	True	True	True	True	True
Tirax	mme	maee1241	True	True	True	True	True	True	True
Tigon Mbembe	nza	tigo1236	True	True	True	True	True	True	True
Tetum	tet	tetu1245	True	True	True	True	True	True	True
Teiwa	twe	teiw1235	True	True	True	True	True	True	True
Takelma	tkm	take1257	True	True	True	True	True	True	True
South Efate	erk	sout2856	True	True	True	True	True	True	True
Papapana	ppn	papa1265	True	True	True	True	True	True	True
Nauete	nxa	naue1237	True	True	True	True	True	True	True
Mwakai	mgt	mong1344	True	True	True	True	True	True	True
Murui Huitoto	huu	muru1274	True	True	True	True	True	True	True
Mpoto	mpa	mpot1240	True	True	True	True	True	True	True
Moskona	mtj	mosk1236	True	True	True	True	True	True	True
Molale	mbe	mola1238	True	True	True	True	True	True	True
Meyah	mej	meya1236	True	True	True	True	True	True	True
Mauwake	mhl	mauw1238	True	True	True	True	True	True	True
Mambae	mgm	mamb1306	True	True	True	True	True	True	True
Mali	gcc	mali1284	True	True	True	True	True	True	True
Luvale	lue	luva1239	True	True	True	True	True	True	True
Lihir	lih	lihi1237	True	True	True	True	True	True	True
Lewo	lww	lewo1242	True	True	True	True	True	True	True
Lamba	lam	lamb1271	True	True	True	True	True	True	True
Kwomtari	kwo	nucl1593	True	True	True	True	True	True	True
Kwaza	xwa	kwaz1243	True	True	True	True	True	True	True
Kuikúro-Kalapálo	kui	kuik1246	True	True	True	True	True	True	True
Kuanyama	kua	kuan1247	True	True	True	True	True	True	True
Kenuzi-Dongola	kzh	kenu1236	True	True	True	True	True	True	True
Kam	kdx	kamm1249	True	True	True	True	True	True	True
Kairiru	kxa	kair1263	True	True	True	True	True	True	True
Hanis	csz	coos1249	True	True	True	True	True	True	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	True	True	True	True	True	True
Esselen	esq	esse1238	True	True	True	True	True	True	True
Diriku	diu	diri1252	True	True	True	True	True	True	True
Central Lembata-Lewokukun	lvu	levu1239	True	True	True	True	True	True	True
Bora	boa	bora1263	True	True	True	True	True	True	True
Bench	bcq	benc1235	True	True	True	True	True	True	True
Bambassi	myf	bamb1262	True	True	True	True	True	True	True
Axamb	ahb	axam1237	True	True	True	True	True	True	True
Araona	aro	arao1248	True	True	True	True	True	True	True
Araki	akr	arak1252	True	True	True	True	True	True	True
Aneityum	aty	anei1239	True	True	True	True	True	True	True
Alsea-Yaquina	aes	alse1251	True	True	True	True	True	True	True
Alamblak	amp	alam1246	True	True	True	True	True	True	True
Aghu	ahh	aghu1255	True	True	True	True	True	True	True
Abui	abz	abui1241	True	True	True	True	True	True	True
Zulu	zul	zulu1248	True	True	True	True	True	False	True
Zou	zom	zouu1235	True	True	True	True	True	False	True
Zialo	zil	zial1235	True	True	True	True	True	False	True
Zauzou	zal	zauz1238	True	True	True	True	True	False	True
Zakhring	zkr	zakh1243	True	True	True	True	True	False	True
Zaiwa	atb	zaiw1241	True	True	True	True	True	False	True
Yurok	yur	yuro1248	True	True	True	True	True	False	True
Yuracaré	yuz	yura1255	True	True	True	True	True	False	True
Yuki	yuk	yuki1243	True	True	True	True	True	False	True
Younuo Bunu	buh	youn1235	True	True	True	True	True	False	True
Yorta Yorta	xyy	yort1237	True	True	True	True	True	False	True
Yintyinka-Ayabadhu	ayd	ayab1239	True	True	True	True	True	False	True
Yine	pib	yine1238	True	True	True	True	True	False	True
Yindjibarndi	yij	yind1247	True	True	True	True	True	False	True
Yimas	yee	yima1243	True	True	True	True	True	False	True
Yidiny	yii	yidi1250	True	True	True	True	True	False	True
Yemsa	jnj	yems1235	True	True	True	True	True	False	True
Yecuatla Totonac	tlc	yecu1235	True	True	True	True	True	False	True
Yao	yao	yaoo1241	True	True	True	True	True	False	True
Yanyuwa	jao	yany1243	True	True	True	True	True	False	True
Yankunytjatjara	kdd	yank1247	True	True	True	True	True	False	True
Yanda Dom Dogon	dym	yand1257	True	True	True	True	True	False	True
Yana	ynn	yana1271	True	True	True	True	True	False	True
Yan-nhangu	jay	yann1237	True	True	True	True	True	False	True
Yamphu	ybi	yamp1242	True	True	True	True	True	False	True
Yaminahua	yaa	yami1256	True	True	True	True	True	False	True
Yalunka	yal	yalu1240	True	False	True	True	True	True	True
Yakkha	ybh	yakk1236	True	True	True	True	True	False	True
Yagnobi	yai	yagn1238	True	True	True	True	True	False	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	True	True	True	False	True
Xiang Chinese	hsn	xian1251	True	True	True	True	True	False	True
Xhosa	xho	xhos1239	True	True	True	True	True	False	True
Wymysorys	wym	wymy1235	True	True	True	True	True	False	True
Wuvulu-Aua	wuv	wuvu1239	True	True	True	True	True	False	True
Wubuy	nuy	nung1290	True	True	True	True	True	False	True
Woun Meu	noa	woun1238	True	True	True	True	True	False	True
Woods Cree	cwd	wood1236	True	True	True	True	True	False	True
Woiwurrung	wyi	woiw1237	True	True	True	True	True	False	True
Wiyot	wiy	wiyo1248	True	True	True	True	True	False	True
Wiru	wiu	wiru1244	True	True	True	True	True	False	True
Wintu	wit	wint1259	True	True	True	True	True	False	True
Western Xiangxi Miao	mmr	west2430	True	True	True	True	True	False	True
Western Victoria	NOCODE_Western-Victoria	west2443	True	True	True	True	True	False	True
Western Subanon	suc	west2557	True	True	True	True	True	True	False
Western Puroik	NOCODE_Western-Puroik	west2873	True	True	True	True	True	False	True
Western Parbate Kham	kjl	west2420	True	True	True	True	True	False	True
Western Muria	mut	west2408	True	True	True	True	True	False	True
Western Lawa	lcp	west2396	True	True	True	True	True	False	True
Western Frisian	fry	west2354	True	True	True	True	True	False	True
Western Dani	dnw	west2594	True	True	True	True	True	False	True
Western Arrarnta	are	west2441	True	True	True	True	True	False	True
West Yugur	ybe	west2402	True	True	True	True	True	False	True
Wayana	way	waya1269	True	True	True	True	True	False	True
Washo	was	wash1253	True	True	True	True	True	False	True
Warrgamay	wgy	warr1255	True	True	True	True	True	False	True
Warray	wrz	wara1290	True	True	True	True	True	False	True
Wari'	pav	wari1268	True	True	True	True	True	False	True
Wano	wno	wano1243	True	True	True	True	True	False	True
Wambule	wme	wamb1257	True	True	True	True	True	False	True
Wala	lgl	wala1266	True	True	True	True	True	False	True
Waigeo	wgo	waig1244	True	True	True	True	True	False	True
Wadjiginy	wdj	wadj1254	True	True	True	True	True	False	True
Votic	vot	voti1245	True	True	True	True	True	False	True
