Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Zbu	NOCODE_Zbu	zbua1234	True	True	True	True	True
Zauzou	zal	zauz1238	True	True	True	True	True
Zacatepec Chatino	ctz	zaca1242	True	True	True	True	True
Yucuna	ycn	yucu1253	True	True	True	True	True
Ye'kwana	mch	maqu1238	True	True	True	True	True
Yawuru	ywr	yawu1244	True	True	True	True	True
Yanomám	wca	yano1262	True	True	True	True	True
Yanda Dom Dogon	dym	yand1257	True	True	True	True	True
Yan-nhangu	jay	yann1237	True	True	True	True	True
Yaminahua	yaa	yami1256	True	True	True	True	True
Yakkha	ybh	yakk1236	True	True	True	True	True
Yagua	yad	yagu1244	True	True	True	True	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	True	True	True
Western Tamang	tdg	west2415	True	True	True	True	True
Western Subanon	suc	west2557	True	True	True	True	True
Western Parbate Kham	kjl	west2420	True	True	True	True	True
Western Karaboro	kza	west2466	True	True	True	True	True
West Coast Bajau	bdr	west2560	True	True	True	True	True
Wayana	way	waya1269	True	True	True	True	True
Wappo	wao	wapp1239	True	True	True	True	True
Wano	wno	wano1243	True	True	True	True	True
Waima	rro	waim1251	True	True	True	True	True
Waigeo	wgo	waig1244	True	True	True	True	True
Vurës	msn	vure1239	True	True	True	True	True
Vamale	mkt	vama1243	True	True	True	True	True
Vaeakau-Taumako	piv	pile1238	True	True	True	True	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	True	True	True	True
Uru	ure	uruu1244	True	True	True	True	True
Upper Necaxa Totonac	tku	uppe1275	True	True	True	True	True
Ughele	uge	ughe1237	True	True	True	True	True
Uduk	udu	uduk1239	True	True	True	True	True
Udihe	ude	udih1248	True	True	True	True	True
Tuwuli	bov	tuwu1238	True	True	True	True	True
Tuvalu	tvl	tuva1244	True	True	True	True	True
Tuki	bag	tuki1240	True	True	True	True	True
Tukang Besi North	khc	tuka1248	True	True	True	True	True
Tugun	tzn	tugu1245	True	True	True	True	True
Tshobdun	NOCODE_Tshobdun	tsho1240	True	True	True	True	True
Tsat	huq	tsat1238	True	True	True	True	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	True	True	True	True
Trumai	tpy	trum1247	True	True	True	True	True
Toro Tegu Dogon	dtt	toro1253	True	True	True	True	True
Toro So Dogon	dts	toro1252	True	True	True	True	True
Tondi Songway Kiini	tst	tond1249	True	True	True	True	True
Tondano	tdn	tond1251	True	True	True	True	True
Tomo Kan Dogon	dtm	tomo1243	True	True	True	True	True
Tommo So Dogon	dto	tomm1242	True	True	True	True	True
Tokelau	tkl	toke1240	True	True	True	True	True
Tobelo	tlb	tobe1252	True	True	True	True	True
To'abaita	mlu	toab1237	True	True	True	True	True
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	True	True	True	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	True	True	True	True	True
Tipai	dih	kumi1248	True	True	True	True	True
Tigon Mbembe	nza	tigo1236	True	True	True	True	True
Tetum	tet	tetu1245	True	True	True	True	True
Teribe	tfr	teri1250	True	True	True	True	True
Tengou-Togo Dogon	dtk	tene1248	True	True	True	True	True
Tena Lowland Quichua	quw	tena1240	True	True	True	True	True
Teiwa	twe	teiw1235	True	True	True	True	True
Tebul Ure Dogon	dtu	tebu1239	True	True	True	True	True
Tawala	tbo	tawa1275	True	True	True	True	True
Taulil	tuh	taul1251	True	True	True	True	True
Tanimuca-Retuarã	tnc	tani1257	True	True	True	True	True
Tangam	NOCODE_Tangam	tang1377	True	True	True	True	True
Tamasheq	taq	tama1365	True	True	True	True	True
Tamambo	mla	malo1243	True	True	True	True	True
Tajio	tdj	taji1246	True	True	True	True	True
Taiap	gpn	taia1239	True	True	True	True	True
Tagdal	tda	tagd1238	True	True	True	True	True
Tafi	tcd	tafi1243	True	True	True	True	True
Tadaksahak	dsq	tada1238	True	True	True	True	True
Supyire Senoufo	spp	supy1237	True	True	True	True	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True	True	True	True	True
Southern Yukaghir	yux	sout2750	True	True	True	True	True
Southern Qiang	qxs	sout2728	True	True	True	True	True
Southern Pumi	pmj	sout2729	True	True	True	True	True
Southern Aymara	ayc	sout2996	True	True	True	True	True
Southeast Ambrym	tvk	sout2859	True	True	True	True	True
South Wa	prk	para1301	True	True	True	True	True
South Efate	erk	sout2856	True	True	True	True	True
Soqotri	sqt	soqo1240	True	True	True	True	True
Skou	skv	nucl1634	True	True	True	True	True
Sirajic	NOCODE_Sirajic	sira1263	True	True	True	True	True
Siona-Tetete	snn	sion1247	True	True	True	True	True
Sheko	she	shek1245	True	True	True	True	True
Shawnee	sjw	shaw1249	True	True	True	True	True
Shabo	sbf	shab1252	True	True	True	True	True
Seze	sze	seze1235	True	True	True	True	True
Senthang Chin	sez	sent1260	True	True	True	True	True
Semelai	sza	seme1247	True	True	True	True	True
Sekpele	lip	sekp1241	True	True	True	True	True
Seke (Vanuatu)	ske	seke1241	True	True	True	True	True
Seimat	ssg	seim1238	True	True	True	True	True
Savosavo	svs	savo1255	True	True	True	True	True
Sarikoli	srh	sari1246	True	True	True	True	True
Saliba	sbe	sali1295	True	True	True	True	True
Saisiyat	xsy	sais1237	True	True	True	True	True
Safaliba	saf	safa1243	True	True	True	True	True
Saaroa	sxr	saar1237	True	True	True	True	True
Rembarunga	rmb	remb1249	True	True	True	True	True
Rayón Zoque	zor	rayo1235	True	True	True	True	True
Rapanui	rap	rapa1244	True	True	True	True	True
Qashqa'i	qxq	qash1240	True	True	True	True	True
Q'anjob'al	kjb	qanj1241	True	True	True	True	True
Puyuma	pyu	puyu1239	True	True	True	True	True
Purik-Sham-Nubra	prx	puri1258	True	True	True	True	True
Puma	pum	puma1239	True	True	True	True	True
Pukapuka	pkp	puka1242	True	True	True	True	True
Popti'	jac	popt1235	True	True	True	True	True
Pontic	pnt	pont1253	True	True	True	True	True
Pilagá	plg	pila1245	True	True	True	True	True
Pijin	pis	piji1239	True	True	True	True	True
Phalura	phl	phal1254	True	True	True	True	True
Penange	NOCODE_Penange	pena1270	True	True	True	True	True
Paumarí	pad	paum1247	True	True	True	True	True
Parecís	pab	pare1272	True	True	True	True	True
Paraguayan Guaraní	gug	para1311	True	True	True	True	True
Papapana	ppn	papa1265	True	True	True	True	True
Paluai	blq	balu1257	True	True	True	True	True
Pagu	pgu	pagu1249	True	True	True	True	True
Oluta Popoluca	plo	olut1240	True	True	True	True	True
Oksapmin	opm	oksa1245	True	True	True	True	True
Oko-Eni-Osayen	oks	okoe1238	True	True	True	True	True
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	True	True	True	True	True
Nyangbo	nyb	nyan1302	True	True	True	True	True
Northwestern Ojibwa	ojb	nort2961	True	True	True	True	True
Northern Yukaghir	ykg	nort2745	True	True	True	True	True
Northern Subanen	stb	nort2885	True	True	True	True	True
Northern Pumi	pmi	nort2723	True	True	True	True	True
Northern Pomo	pej	nort2966	True	True	True	True	True
Northern Paiute	pao	nort2954	True	True	True	True	True
Northern Emberá	emp	nort2972	True	True	True	True	True
Northeast Kiwai	kiw	nort2930	True	True	True	True	True
Nkami	nkq	nkam1239	True	True	True	True	True
Ninde	mwi	labo1244	True	True	True	True	True
Ngiti	niy	ngit1239	True	True	True	True	True
Nganasan	nio	ngan1291	True	True	True	True	True
Neverver	lgk	ling1265	True	True	True	True	True
Nese	NOCODE_Nese	nese1235	True	True	True	True	True
Nek	nif	nekk1240	True	True	True	True	True
Nanggu	ngr	nang1262	True	True	True	True	True
Nahavaq	sns	sout2857	True	True	True	True	True
Mün Chin	mwq	munc1235	True	True	True	True	True
Mwera (Nyasa)	mjh	mwer1247	True	True	True	True	True
Muklom	NOCODE_Muklom	mukl1234	True	True	True	True	True
Muduapa	wiv	mudu1242	True	True	True	True	True
Mualang	mtd	mual1241	True	True	True	True	True
Mpade	mpi	mpad1242	True	True	True	True	True
Movima	mzp	movi1243	True	True	True	True	True
Mosetén-Chimané	cas	mose1249	True	True	True	True	True
Montagnais	moe	mont1268	True	True	True	True	True
Mono-Alu	mte	mono1273	True	True	True	True	True
Momu-Fas	fqs	fass1245	True	True	True	True	True
Modern Hebrew	heb	hebr1245	True	True	True	True	True
Mlabri	mra	mlab1235	True	True	True	True	True
Miya	mkf	miya1266	True	True	True	True	True
Mingrelian	xmf	ming1252	True	True	True	True	True
Milang	NOCODE_Milang	mila1245	True	True	True	True	True
Meyah	mej	meya1236	True	True	True	True	True
Menya	mcr	meny1245	True	True	True	True	True
Mekens	skf	saki1248	True	True	True	True	True
Mbula	mna	mbul1263	True	True	True	True	True
Mbre	mka	mbre1244	True	True	True	True	True
Mayogo	mdm	mayo1261	True	True	True	True	True
Mauwake	mhl	mauw1238	True	True	True	True	True
Maung	mph	maun1240	True	True	True	True	True
Matsés	mcf	mats1244	True	True	True	True	True
Martuthunira	vma	mart1255	True	True	True	True	True
Markweeta	enb	mark1255	True	True	True	True	True
Maricopa	mrc	mari1440	True	True	True	True	True
Manus Koro	kxr	bowa1234	True	True	True	True	True
Manumanaw Karen	kxf	manu1255	True	True	True	True	True
Mann	mev	mann1248	True	True	True	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	True	True	True	True
Mangarayi	mpc	mang1381	True	True	True	True	True
Mangala	mem	mang1383	True	True	True	True	True
