Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Wutung	wut	wutu1244	True	True	True	True	True	True
Skou	skv	nucl1634	True	True	True	True	True	True
Liko	lik	lika1243	True	True	True	True	True	True
Lamang	hia	lama1288	True	True	True	True	True	True
Zacatepec Chatino	ctz	zaca1242	True	False	True	True	True	True
Yucuna	ycn	yucu1253	False	True	True	True	True	True
Ruund	rnd	ruun1238	False	True	True	True	True	True
Northern Pame	pmq	nort2984	True	True	True	True	False	True
Ngalakan	nig	ngal1293	True	True	True	True	False	True
Manda-Matumba	mgs	mand1423	False	True	True	True	True	True
Mamaindé	wmd	mama1278	True	True	True	False	True	True
Kurtokha	xkz	kurt1248	True	False	True	True	True	True
Koyraboro Senni Songhai	ses	koyr1242	True	True	True	False	True	True
Kotiria	gvc	guan1269	False	True	True	True	True	True
Konni	kma	konn1242	True	False	True	True	True	True
Kohistani Shina	plk	kohi1248	True	True	False	True	True	True
Kam	kdx	kamm1249	True	False	True	True	True	True
Kakua	cbv	cacu1241	True	True	False	True	True	True
Kakabe	kke	kaka1265	False	True	True	True	True	True
Isthmus Zapotec	zai	isth1244	True	True	True	False	True	True
Hup	jup	hupd1244	True	True	True	True	False	True
Huli	hui	huli1244	False	True	True	True	True	True
Gyele	gyi	gyel1242	False	True	True	True	True	True
Golin	gvf	goli1247	False	True	True	True	True	True
Donno So Dogon	dds	donn1239	False	True	True	True	True	True
Dom	doa	domm1246	False	True	True	True	True	True
Dameli	dml	dame1241	True	False	True	True	True	True
Dagbani	dag	dagb1246	True	True	True	False	True	True
Copala Triqui	trc	copa1237	True	True	True	False	True	True
Bambassi	myf	bamb1262	True	True	True	False	True	True
Awngi	awn	awng1244	True	True	True	True	False	True
Yeyi	yey	yeyi1239	False	True	True	False	True	True
Western Tamang	tdg	west2415	False	False	True	True	True	True
Western Minyag	wmg	west2417	False	True	True	True	False	True
Western Cham	cja	west2650	False	True	True	False	True	True
West Kewa	kew	west2599	True	True	False	False	True	True
Toro Tegu Dogon	dtt	toro1253	False	False	True	True	True	True
Ticuna	tca	ticu1245	True	True	False	True	False	True
Sìcìté Sénoufo	sep	sici1249	True	False	False	True	True	True
Southern Pumi	pmj	sout2729	False	True	True	False	True	True
Southern Kisi	kss	sout2778	False	False	True	True	True	True
Southeast Pashayi	psi	sout2672	True	False	True	False	True	True
Seze	sze	seze1235	True	True	False	False	True	True
Pendau	ums	pend1242	False	True	True	False	True	True
Nzima	nzi	nzim1238	False	False	True	True	True	True
Nyankole	nyn	nyan1307	False	False	True	True	True	True
Northern Pumi	pmi	nort2723	False	True	True	False	True	True
Northeast Kiwai	kiw	nort2930	True	True	False	False	True	True
Nanga	nzz	nang1261	False	False	True	True	True	True
Namuyi	nmy	namu1246	True	False	False	True	True	True
Mungbam	mij	abar1238	False	True	False	True	True	True
Moken	mwt	moke1242	False	False	True	True	True	True
Miship	mjs	mish1244	False	False	True	True	True	True
Mikasuki	mik	mika1239	False	True	True	False	True	True
Meyah	mej	meya1236	True	True	True	False	False	True
Mbuk	bpc	mbuk1244	False	False	True	True	True	True
Matumbi	mgw	matu1259	False	True	True	False	True	True
Lunda	lun	lund1266	True	False	False	True	True	True
Lakkia	lbc	lakk1238	False	False	True	True	True	True
Laari	ldi	laar1238	False	True	True	False	True	True
Kuanyama	kua	kuan1247	True	False	False	True	True	True
Kiliwa	klb	kili1268	False	True	True	True	False	True
Kalkoti	xka	kalk1245	True	False	False	True	True	True
Kado	kdv	kado1242	True	False	False	True	True	True
Kaba	ksp	kaba1281	True	False	False	True	True	True
I'saka	ksi	kris1246	True	False	True	False	True	True
Huambisa	hub	huam1247	False	True	True	False	True	True
Ha	haq	haaa1252	False	True	False	True	True	True
Fwe	fwe	fwee1238	True	False	True	False	True	True
Fungwa	ula	fung1245	True	False	True	True	False	True
Eleme	elm	elem1253	True	False	False	True	True	True
Duna	duc	duna1248	True	False	False	True	True	True
Cubeo	cub	cube1242	False	True	True	True	False	True
Chuwabu	chw	chuw1238	False	False	True	True	True	True
Bunoge Dogon	dgb	buno1241	False	True	True	False	True	True
Bunan	bfu	gahr1239	False	True	False	True	True	True
Buli (Ghana)	bwu	buli1254	False	False	True	True	True	True
Bati (Cameroon)	btc	bati1251	False	False	True	True	True	True
Bangime	dba	bang1363	False	False	True	True	True	True
Bamun	bax	bamu1253	False	False	True	True	True	True
Bafanji	bfj	bafa1249	False	False	True	True	True	True
Anii	blo	anii1245	False	False	True	True	True	True
Akuntsu	aqz	akun1241	False	True	True	False	True	True
Abawiri	flh	foau1240	False	False	True	True	True	True
Àhàn	ahn	ahan1244	False	True	True	False	False	True
Zialo	zil	zial1235	False	False	True	False	True	True
Zenzontepec Chatino	czn	zenz1235	False	False	False	True	True	True
Zauzou	zal	zauz1238	False	False	True	False	True	True
Yuki	yuk	yuki1243	False	True	True	False	False	True
Yoy	yoy	yoyy1238	False	False	False	True	True	True
Yemba	ybb	yemb1246	False	False	True	False	True	True
Yekhee	ets	yekh1238	False	False	True	False	True	True
Yaminahua	yaa	yami1256	False	False	True	False	True	True
Yalunka	yal	yalu1240	False	False	False	True	True	True
Worodougou	jud	woro1256	False	False	False	True	True	True
Western Xiangxi Miao	mmr	west2430	False	False	False	True	True	True
Western Sisaala	ssl	west2465	False	False	False	True	True	True
Wara	wbf	wara1292	True	False	False	False	True	True
Wailaki	wlk	wail1244	False	True	True	False	False	True
Waigeo	wgo	waig1244	False	False	True	True	False	True
Vute	vut	vute1244	True	False	False	True	False	True
Ut-Main	gel	kagf1238	True	False	False	True	False	True
Urhobo	urh	urho1239	False	False	False	True	True	True
Urarina	ura	urar1246	False	True	False	False	True	True
Upper Tanana	tau	uppe1437	False	False	True	True	False	True
Una	mtg	unaa1239	True	True	False	False	False	True
Ugong	ugo	ugon1239	True	False	False	False	True	True
Udihe	ude	udih1248	False	False	True	False	True	True
Tuwuli	bov	tuwu1238	False	True	False	False	True	True
Tukang Besi North	khc	tuka1248	False	True	True	False	False	True
Tshobdun	NOCODE_Tshobdun	tsho1240	False	True	False	True	False	True
Tsamai	tsb	tsam1247	False	True	False	False	True	True
Totela	ttl	tote1238	False	False	True	True	False	True
Toro So Dogon	dts	toro1252	False	True	True	False	False	True
Tomo Kan Dogon	dtm	tomo1243	False	False	True	False	True	True
Toma	tod	toma1245	False	False	False	True	True	True
Tennet	tex	tenn1246	False	True	False	False	True	True
Tataltepec Chatino	cta	tata1258	False	False	True	False	True	True
Tanacross	tcb	tana1290	False	False	True	True	False	True
Sukur	syk	suku1272	True	False	True	False	False	True
Sui	swi	suii1243	False	False	True	False	True	True
Southern Qiang	qxs	sout2728	False	False	True	False	True	True
Southern Dong	kmc	sout2741	True	False	False	False	True	True
Sougb	mnx	mani1235	True	True	False	False	False	True
Sierra de Juárez Zapotec	zaa	sier1250	True	False	False	True	False	True
Shixing	sxg	shix1238	True	False	False	False	True	True
Sasak	sas	sasa1249	False	True	True	False	False	True
Sarsi	srs	sars1236	False	True	False	False	True	True
Sangtam Naga	nsa	sang1321	True	False	False	True	False	True
San Miguel El Grande Mixtec	mig	sanm1295	False	False	True	False	True	True
San Francisco del Mar Huave	hue	sanf1258	False	True	True	False	False	True
Saisiyat	xsy	sais1237	False	True	True	False	False	True
Rundi	run	rund1242	False	False	False	True	True	True
Rabha	rah	rabh1238	False	False	False	True	True	True
Purik-Sham-Nubra	prx	puri1258	False	False	True	False	True	True
Principense	pre	prin1242	False	False	False	True	True	True
Pichi	fpe	fern1234	False	True	True	False	False	True
Peñoles Mixtec	mil	peno1244	False	False	True	False	True	True
Pero	pip	pero1241	True	False	False	False	True	True
Penange	NOCODE_Penange	pena1270	False	False	True	True	False	True
Oksapmin	opm	oksa1245	False	True	True	False	False	True
Nyaturu	rim	nyat1246	False	False	False	True	True	True
Nyang'i	nyp	nyan1313	False	False	False	True	True	True
Northern Pastaza Quichua	qvz	nort2973	False	True	True	False	False	True
Nopala Chatino	cya	nopa1235	True	False	True	False	False	True
Noone	nhu	noon1243	True	False	False	True	False	True
Nkami	nkq	nkam1239	False	False	True	False	True	True
Njyem	njy	njye1238	True	False	False	False	True	True
Ngiti	niy	ngit1239	True	False	False	True	False	True
Ngazidja Comorian	zdj	ngaz1238	False	True	True	False	False	True
Nanti	cox	nant1250	True	False	True	False	False	True
Mulam	mlm	mula1253	True	False	True	False	False	True
Muklom	NOCODE_Muklom	mukl1234	False	False	True	True	False	True
Mpade	mpi	mpad1242	False	False	False	True	True	True
Moskona	mtj	mosk1236	False	True	False	True	False	True
Mortlockese	mrl	mort1237	False	True	True	False	False	True
Mocho	mhc	moch1257	True	False	False	True	False	True
Min Bei Chinese	mnp	minb1244	False	False	True	False	True	True
Middle Chinese	ltc	midd1344	False	False	True	False	True	True
Mian	mpt	mian1256	False	False	True	False	True	True
Meta'	mgo	meta1238	False	False	True	False	True	True
Mbalanhu	lnb	mbal1255	True	True	False	False	False	True
Manumanaw Karen	kxf	manu1255	True	False	False	False	True	True
Mann	mev	mann1248	False	False	True	True	False	True
Mambai	mcs	mamb1294	True	False	False	False	True	True
Makwe	ymk	makw1236	False	False	True	False	True	True
Makhuwa-Saka	xsq	makh1266	False	False	False	True	True	True
Maijiki	ore	orej1242	True	False	False	False	True	True
Mafea	mkv	mafe1237	False	True	True	False	False	True
Maay	ymm	maay1238	True	False	False	True	False	True
Ma Manda	skc	sauk1252	False	True	True	False	False	True
Lumun	lmd	lumu1239	False	False	False	True	True	True
Lopit	lpx	lopi1242	True	False	False	True	False	True
Logo	log	logo1259	True	False	True	False	False	True
Lao	lao	laoo1244	True	False	True	False	False	True
Lamjung-Melamchi Yolmo	scp	hela1238	False	False	True	True	False	True
Lacandon	lac	laca1243	False	False	False	True	True	True
Kumam	kdi	kuma1275	False	True	False	False	True	True
Kuku	ukv	kuku1285	False	False	True	True	False	True
Koti	eko	koti1238	False	False	False	True	True	True
Koshin	kid	kosh1246	True	False	True	False	False	True
Koromfé	kfz	koro1298	False	False	True	False	True	True
Koch	kdq	koch1250	True	False	False	False	True	True
Koasati	cku	koas1236	False	True	False	True	False	True
Kipsigis	sgc	kips1239	False	False	True	False	True	True
Kilmeri	kih	kilm1241	False	True	True	False	False	True
Khumi Chin	cnk	khum1248	False	False	False	True	True	True
Ket	ket	kett1243	False	True	True	False	False	True
Katso	kaf	kats1235	True	False	True	False	False	True
Kashaya	kju	kash1280	False	True	True	False	False	True
Karitiâna	ktn	kari1311	False	True	True	False	False	True
Kaningdon-Nindem	kdp	kani1277	True	False	False	False	True	True
Kalamang	kgv	kara1499	False	True	True	False	False	True
Kagulu	kki	kagu1239	False	True	True	False	False	True
Kadiwéu	kbc	kadi1248	False	True	True	False	False	True
Japhug	NOCODE_Japhug	japh1234	False	False	True	True	False	True
Jamsay Dogon	djm	jams1239	False	False	True	False	True	True
Indus Kohistani	mvy	indu1241	False	True	False	False	True	True
