Language	ISO 639-3	Glottocode	object_agreement	subject_agreement	subject_indexing
Yeri	yev	yapu1240	True	True	True
Yau (Morobe Province)	yuw	yaum1237	True	True	True
Yakkha	ybh	yakk1236	True	True	True
Wubuy	nuy	nung1290	True	True	True
Worrorra	wro	worr1237	True	True	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True	True	True
Wala	lgl	wala1266	True	True	True
Ulwa (Papua New Guinea)	yla	yaul1241	True	True	True
Tukang Besi North	khc	tuka1248	True	True	True
To'abaita	mlu	toab1237	True	True	True
Teribe	tfr	teri1250	True	True	True
Teop	tio	teop1238	True	True	True
Tayo	cks	tayo1238	True	True	True
Tawala	tbo	tawa1275	True	True	True
Southeast Pashayi	psi	sout2672	True	True	True
Southeast Ambrym	tvk	sout2859	True	True	True
Ruuli	ruc	ruul1235	True	True	True
Papapana	ppn	papa1265	True	True	True
Nukna	klt	nukn1238	True	True	True
Northwestern Ojibwa	ojb	nort2961	True	True	True
North Junín Quechua	qvn	nort2980	True	True	True
North Ambrym	mmg	nort2839	True	True	True
Nkami	nkq	nkam1239	True	True	True
Neverver	lgk	ling1265	True	True	True
Nese	NOCODE_Nese	nese1235	True	True	True
Namakura	nmk	nama1268	True	True	True
Mpoto	mpa	mpot1240	True	True	True
Mono-Alu	mte	mono1273	True	True	True
Momu-Fas	fqs	fass1245	True	True	True
Molale	mbe	mola1238	True	True	True
Meta'	mgo	meta1238	True	True	True
Mekeo	mek	meke1243	True	True	True
Maung	mph	maun1240	True	True	True
Marind	mrz	nucl1622	True	True	True
Lopit	lpx	lopi1242	True	True	True
Leti (Indonesia)	lti	leti1246	True	True	True
Lengo	lgr	leng1259	True	True	True
Lavukaleve	lvk	lavu1241	True	True	True
Lamboya	lmy	lamb1273	True	True	True
Kuot	kto	kuot1243	True	True	True
Kunbarlang	wlg	kunb1251	True	True	True
Koluwawa	klx	kolu1245	True	True	True
Kokota	kkk	koko1269	True	True	True
Kilmeri	kih	kilm1241	True	True	True
Kamasau	kms	kama1367	True	True	True
Japhug	NOCODE_Japhug	japh1234	True	True	True
Humburi Senni Songhay	hmb	humb1243	True	True	True
Huambisa	hub	huam1247	True	True	True
Hoava	hoa	hoav1238	True	True	True
Guragone	gge	gura1252	True	True	True
Ghanongga	ghn	ghan1242	True	True	True
Garifuna	cab	gari1256	True	True	True
Forest Enets	enf	fore1265	True	True	True
Camsá	kbh	cams1241	True	True	True
Blablanga	blp	blab1237	True	True	True
Beng	nhb	beng1286	True	True	True
Bauni	bpe	wara1302	True	True	True
Barain	bva	bare1279	True	True	True
Bangime	dba	bang1363	True	True	True
Awetí	awe	awet1244	True	True	True
Awara	awx	awar1248	True	True	True
Aguaruna	agr	agua1253	True	True	True
Ömie	aom	omie1241	True	True	False
Àhàn	ahn	ahan1244	True	True	False
Zuni	zun	zuni1245	True	True	False
Zulu	zul	zulu1248	True	True	False
Zulgo-Gemzek	gnd	zulg1242	True	True	False
Zoogocho Zapotec	zpq	zoog1238	True	True	False
Zinza	zin	zinz1238	True	True	False
Zigula-Mushungulu	ziw	zigu1244	True	True	False
Yuracaré	yuz	yura1255	True	True	False
Yonggom	yon	yong1280	True	True	False
Yimas	yee	yima1243	True	True	False
Yeyi	yey	yeyi1239	True	True	False
Yemba	ybb	yemb1246	True	True	False
Yele	yle	yele1255	True	True	False
Yecuatla Totonac	tlc	yecu1235	True	True	False
Yawuru	ywr	yawu1244	True	True	False
Yawa	yva	nucl1454	True	True	False
Yapese	yap	yape1248	True	True	False
Yanyuwa	jao	yany1243	True	True	False
Yanda Dom Dogon	dym	yand1257	True	True	False
Yamphu	ybi	yamp1242	True	True	False
Yalunka	yal	yalu1240	True	True	False
Yale	nce	yale1246	True	True	False
Yakan	yka	yaka1277	True	True	False
Yagua	yad	yagu1244	True	True	False
Yagaria	ygr	yaga1260	True	True	False
Yabem	jae	yabe1254	True	True	False
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	False
Wuvulu-Aua	wuv	wuvu1239	True	True	False
Wutung	wut	wutu1244	True	True	False
Woods Cree	cwd	wood1236	True	True	False
Woleaian	woe	wole1240	True	True	False
Wolane	wle	wola1253	True	True	False
Woi	wbw	woii1237	True	True	False
Wipi	gdr	wipi1242	True	True	False
Wik-Mungkan	wim	wikm1247	True	True	False
Wichita	wic	wich1260	True	True	False
Western Tlacolula Valley Zapotec	zab	sanj1284	True	True	False
Western Tamang	tdg	west2415	True	True	False
Western Parbate Kham	kjl	west2420	True	True	False
Western Panjabi	pnb	west2386	True	True	False
Western Ojibwa	ojw	west1510	True	True	False
Western Balochi	bgn	west2368	True	True	False
Western Arrarnta	are	west2441	True	True	False
West Tarangan	txn	west2538	True	True	False
Weri	wer	weri1253	True	True	False
Wayuu	guc	wayu1243	True	True	False
Waskia	wsk	wask1241	True	True	False
Warlpiri	wbp	warl1254	True	True	False
Wari'	pav	wari1268	True	True	False
Warembori	wsa	ware1253	True	True	False
Wano	wno	wano1243	True	True	False
Wandala	mfi	wand1278	True	True	False
Wambon	wms	wamb1259	True	True	False
Waimiri-Atroari	atr	waim1253	True	True	False
Waima	rro	waim1251	True	True	False
Wagdi	wbr	wagd1238	True	True	False
Vengo	bav	veng1238	True	True	False
Venda	ven	vend1245	True	True	False
Vamale	mkt	vama1243	False	True	True
Vaiphei	vap	vaip1239	True	True	False
Vaghri	vgr	vagh1246	True	True	False
Vafsi	vaf	vafs1240	True	True	False
Vaeakau-Taumako	piv	pile1238	True	True	False
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	True	False
Ute-Southern Paiute	ute	utes1238	True	True	False
Ut-Main	gel	kagf1238	True	True	False
Usan	wnu	usan1239	True	True	False
Urdu	urd	urdu1245	True	True	False
Urartian	xur	urar1245	True	True	False
Upper Taromi	tov	uppe1235	True	True	False
Upper Necaxa Totonac	tku	uppe1275	True	True	False
Unua	onu	unua1237	True	True	False
Umbundu	umb	umbu1257	True	True	False
Umatilla	uma	umat1237	True	True	False
Ulithian	uli	ulit1238	True	True	False
Ughele	uge	ughe1237	True	True	False
Udihe	ude	udih1248	True	True	False
Ubykh	uby	ubyk1235	True	True	False
Tày	tyz	tayy1238	True	True	False
Tuwuli	bov	tuwu1238	True	True	False
Tuvalu	tvl	tuva1244	True	True	False
Tuscarora	tus	tusc1257	True	True	False
Tuparí	tpr	tupa1250	True	True	False
Tunni	tqq	tunn1238	True	True	False
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True	True	False
Tungag	lcm	tung1290	True	True	False
Tundra Nenets	yrk	nene1249	True	True	False
Tuki	bag	tuki1240	True	True	False
Tugen	tuy	tuge1241	True	True	False
Tsakhur	tkr	tsak1249	True	True	False
Totontepec Mixe	mto	toto1305	True	True	False
Totela	ttl	tote1238	True	True	False
Toposa	toq	topo1242	True	True	False
Tonkawa	tqw	tonk1249	True	True	False
Tomo Kan Dogon	dtm	tomo1243	True	True	False
Tommo So Dogon	dto	tomm1242	True	True	False
Tocantins Asurini	asu	toca1235	True	True	False
Tobati	tti	toba1266	True	True	False
Tlahuitoltepec Mixe	mxp	tlah1239	True	True	False
Titan	ttv	tita1241	True	True	False
Tirma-Chai	suq	suri1267	True	True	False
Tiri-Mea	cir	tiri1258	True	True	False
Tinani	lbf	tina1246	True	True	False
Tima	tms	tima1241	True	True	False
Tillamook	til	till1254	True	True	False
Tigrinya	tir	tigr1271	True	True	False
Tigon Mbembe	nza	tigo1236	True	True	False
Thao	ssf	thao1240	True	True	False
Texistepec Popoluca	poq	texi1237	True	True	False
Tetum	tet	tetu1245	True	True	False
Tetelcingo Nahuatl	nhg	tete1251	True	True	False
Tena Lowland Quichua	quw	tena1240	True	True	False
Telefol	tlf	tele1256	True	True	False
Teiwa	twe	teiw1235	True	False	True
Tehit	kps	tehi1237	True	True	False
Tauya	tya	tauy1241	True	True	False
Tatuyo	tav	tatu1247	True	True	False
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	True	True	False
Tariana	tae	tari1256	True	True	False
Tapieté	tpj	tapi1253	True	True	False
Tanzanian Ngoni	xnj	tanz1241	True	True	False
Tanimuca-Retuarã	tnc	tani1257	True	True	False
Tangut	txg	tang1334	True	True	False
Tamasheq	taq	tama1365	True	True	False
Tamambo	mla	malo1243	True	True	False
Takuu	nho	taku1257	True	True	False
Takia	tbc	taki1248	True	True	False
Tajik	tgk	taji1245	True	True	False
Taita	dav	tait1250	True	True	False
Tainae	ago	tain1253	True	True	False
Taiap	gpn	taia1239	True	True	False
Tafi	tcd	tafi1243	True	True	False
Tabla	tnm	tabl1243	True	True	False
Tabasco Chontal	chf	taba1266	True	True	False
Swati	ssw	swat1243	True	True	False
Svan	sva	svan1243	True	True	False
Supyire Senoufo	spp	supy1237	True	True	False
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	True	True	False
Sula	szn	sula1248	False	True	True
Sudest	tgo	sude1239	True	True	False
Subiya	sbs	subi1246	True	True	False
Suba-Simbiti	ssc	suba1252	True	True	False
Suba	sxb	suba1238	True	True	False
Spiti Bhoti	spt	spit1240	True	True	False
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True	True	False
Southern-Coastal Tsimshian	tsi	nucl1649	True	True	False
Southern Pashto	pbt	sout2649	True	True	False
Southern Kiwai	kjd	sout2949	True	True	False
Southeastern Tepehuan	stp	sout2976	True	True	False
