Language	ISO 639-3	Glottocode	verbal_number
Zauzou	zal	zauz1238	True
Yuracaré	yuz	yura1255	True
Yimas	yee	yima1243	True
Yau (Morobe Province)	yuw	yaum1237	True
Yalunka	yal	yalu1240	True
Yakkha	ybh	yakk1236	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True
Trió	tri	trio1238	True
Tima	tms	tima1241	True
Skolt Sami	sms	skol1241	True
Shasta	sht	shas1239	True
Pondi	lnm	lang1328	True
Pichi	fpe	fern1234	True
Patwin	pwi	patw1250	True
Parecís	pab	pare1272	True
Panará	kre	pana1307	True
Pamosu	hih	pamo1253	True
Northern Pomo	pej	nort2966	True
Nizaa	sgi	suga1248	True
Ngkâlmpw Kanum	kcd	ngka1235	True
Ngarinyin	ung	ngar1284	True
Neverver	lgk	ling1265	True
Nanti	cox	nant1250	True
Mün Chin	mwq	munc1235	True
Mwakai	mgt	mong1344	True
Movima	mzp	movi1243	True
Mono-Alu	mte	mono1273	True
Momu-Fas	fqs	fass1245	True
Mikasuki	mik	mika1239	True
Marithiel	mfr	mari1424	True
Marind	mrz	nucl1622	True
Maricopa	mrc	mari1440	True
Ma Manda	skc	sauk1252	True
Kipsigis	sgc	kips1239	True
Kilmeri	kih	kilm1241	True
Kesawai	xes	kesa1244	True
Kayapó	txu	kaya1330	True
Kamu	xmu	kamu1258	True
Ingush	inh	ingu1240	True
Hup	jup	hupd1244	True
Highland Popoluca	poi	high1276	True
Gitxsan	git	gitx1241	True
Fuliiru	flr	fuli1240	True
Eipomek	eip	eipo1242	True
East Makian	mky	east2440	True
Daats'iin	dtn	daat1234	True
Comanche	com	coma1245	True
Central Tarahumara	tar	cent2131	True
Cabécar	cjp	cabe1245	True
Bunaba	bck	buna1275	True
Biali	beh	bial1238	True
Baure	brg	baur1253	True
Bats	bbl	bats1242	True
Axamb	ahb	axam1237	True
Ashéninka Perené	prq	ashe1272	True
Araona	aro	arao1248	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	True
Ami	amy	amii1238	True
Agob	kit	agob1244	True
Achuar-Shiwiar	acu	achu1248	True
Önge	oon	onge1236	False
Ömie	aom	omie1241	False
Àhàn	ahn	ahan1244	False
Záparo	zro	zapa1253	False
Zuni	zun	zuni1245	False
Zulu	zul	zulu1248	False
Zulgo-Gemzek	gnd	zulg1242	False
Zou	zom	zouu1235	False
Zoroastrian Dari	gbz	zoro1242	False
Zoogocho Zapotec	zpq	zoog1238	False
Zinza	zin	zinz1238	False
Zimbabwean Ndebele	nde	nort2795	False
Zimba	zmb	zimb1251	False
Zigula-Mushungulu	ziw	zigu1244	False
Zialo	zil	zial1235	False
Zia	zia	ziaa1250	False
Zhangzhung	xzh	zhan1239	False
Zenzontepec Chatino	czn	zenz1235	False
Zeme Naga	nzm	zeme1240	False
Zemba	dhm	zemb1238	False
Zbu	NOCODE_Zbu	zbua1234	False
Zayse-Zergulla	zay	zays1235	False
Zarma-Kaado	dje	zarm1239	False
Zaniza Zapotec	zpw	zani1235	False
Zande	zne	zand1248	False
Zakhring	zkr	zakh1243	False
Zaiwa	atb	zaiw1241	False
Zacatepec Chatino	ctz	zaca1242	False
Zabana	kji	zaba1237	False
Yámana	yag	yama1264	False
Yuwaalaraay-Gamilaraay	kld	gami1243	False
Yurok	yur	yuro1248	False
Yuputhimri	NOCODE_Yuputhimri	yupu1235	False
Yulu	yul	yulu1243	False
Yulparija	NOCODE_Yulparija	yulp1239	False
Yukuben	ybl	yuku1243	False
Yuki	yuk	yuki1243	False
Yue Chinese	yue	yuec1235	False
Yucuna	ycn	yucu1253	False
Yuchi	yuc	yuch1247	False
Yucatec Maya	yua	yuca1254	False
Yoy	yoy	yoyy1238	False
Younuo Bunu	buh	youn1235	False
Yosondúa Mixtec	mpm	yoso1239	False
Yoruba	yor	yoru1245	False
Yorta Yorta	xyy	yort1237	False
Yora	mts	yora1241	False
Yopno	yut	yopn1238	False
Yongning Na	nru	yong1270	False
Yongnan Zhuang	zyn	yong1275	False
Yonggom	yon	yong1280	False
Yonaguni	yoi	yona1241	False
Yom	pil	yomm1242	False
Yokuts	yok	yoku1256	False
Yogad	yog	yoga1237	False
Yiwom	gek	yiwo1237	False
Yir-Yoront	yiy	yiry1245	False
Yintyinka-Ayabadhu	ayd	ayab1239	False
Yinggarda	yia	ying1247	False
Yine	pib	yine1238	False
Yindjibarndi	yij	yind1247	False
Yinchia	yin	yinc1238	False
Yidiny	yii	yidi1250	False
Yeyi	yey	yeyi1239	False
Yessan-Mayo	yss	yess1239	False
Yerukula	yeu	yeru1240	False
Yeri	yev	yapu1240	False
Yemsa	jnj	yems1235	False
Yemba	ybb	yemb1246	False
Yele	yle	yele1255	False
Yekhee	ets	yekh1238	False
Yecuatla Totonac	tlc	yecu1235	False
Ye'kwana	mch	maqu1238	False
Yaygir	xya	yayg1236	False
Yawuru	ywr	yawu1244	False
Yaweyuha	yby	yawe1241	False
Yawa	yva	nucl1454	False
Yauyos Quechua	qux	yauy1235	False
Yareba	yrb	yare1248	False
Yaqui	yaq	yaqu1251	False
Yapese	yap	yape1248	False
Yao	yao	yaoo1241	False
Yanyuwa	jao	yany1243	False
Yanomám	wca	yano1262	False
Yankunytjatjara	kdd	yank1247	False
Yanesha'	ame	yane1238	False
Yandruwandha	ynd	yand1253	False
Yanda Dom Dogon	dym	yand1257	False
Yana	ynn	yana1271	False
Yan-nhangu	jay	yann1237	False
Yamphu	ybi	yamp1242	False
Yaminahua	yaa	yami1256	False
Yami	tao	yami1254	False
Yamba	yam	yamb1251	False
Yale	nce	yale1246	False
Yalarnnga	ylr	yala1262	False
Yalahatan-Haruru-Awaiya	jal	yala1266	False
Yala	yba	yala1263	False
Yakan	yka	yaka1277	False
Yagua	yad	yagu1244	False
Yagnobi	yai	yagn1238	False
Yagaria	ygr	yaga1260	False
Yagara-Jandai	NOCODE_Yagara	yaga1256	False
Yaeyama	rys	yaey1239	False
Yabem	jae	yabe1254	False
Yaaku	muu	yaak1241	False
Xârâcùù	ane	xara1244	False
Xokleng	xok	xokl1240	False
Xishanba Lalo	ywt	xish1235	False
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	False
Xicotepec De Juárez Totonac	too	xico1235	False
Xiang Chinese	hsn	xian1251	False
Xhosa	xho	xhos1239	False
Xanaguía Zapotec	ztg	xana1235	False
Xamtanga	xan	xamt1239	False
Wymysorys	wym	wymy1235	False
Wuvulu-Aua	wuv	wuvu1239	False
Wutunhua	wuh	wutu1241	False
Wutung	wut	wutu1244	False
Wunambal	wub	wuna1249	False
Wulguru	qgu	wulg1239	False
Wubuy	nuy	nung1290	False
Wu Chinese	wuu	wuch1236	False
Woun Meu	noa	woun1238	False
Wotu	wtw	wotu1240	False
Worrorra	wro	worr1237	False
Worodougou	jud	woro1256	False
Worimi	kda	wori1245	False
Woods Cree	cwd	wood1236	False
Wongo	won	wong1247	False
Wolof	wol	nucl1347	False
Wolio	wlo	woli1241	False
Woleaian	woe	wole1240	False
Wolaytta	wal	wola1242	False
Wolane	wle	wola1253	False
Woiwurrung	wyi	woiw1237	False
Woi	wbw	woii1237	False
