Language	ISO 639-3	Glottocode	coordination	serial_verb	verb_serialization	yuxtaposition
Zauzou	zal	zauz1238	True	True	True	True
Yopno	yut	yopn1238	True	True	True	True
Yimas	yee	yima1243	True	True	True	True
Yan-nhangu	jay	yann1237	True	True	True	True
Yakkha	ybh	yakk1236	True	True	True	True
Yagua	yad	yagu1244	True	True	True	True
Wuvulu-Aua	wuv	wuvu1239	True	True	True	True
Woi	wbw	woii1237	True	True	True	True
Western Parbate Kham	kjl	west2420	True	True	True	True
Western Dani	dnw	west2594	True	True	True	True
Waris	wrs	wari1266	True	True	True	True
Wala	lgl	wala1266	True	True	True	True
Vurës	msn	vure1239	True	True	True	True
Vaeakau-Taumako	piv	pile1238	True	True	True	True
Usan	wnu	usan1239	True	True	True	True
Ughele	uge	ughe1237	True	True	True	True
Tyap	kcg	tyap1238	True	True	True	True
Tuvalu	tvl	tuva1244	True	True	True	True
Tugun	tzn	tugu1245	True	True	True	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	True	True	True
Trumai	tpy	trum1247	True	True	True	True
Tondano	tdn	tond1251	True	True	True	True
To'abaita	mlu	toab1237	True	True	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	True	True	True	True
Titan	ttv	tita1241	True	True	True	True
Tirax	mme	maee1241	True	True	True	True
Tidore	tvo	tido1248	True	True	True	True
Tetum	tet	tetu1245	True	True	True	True
Teribe	tfr	teri1250	True	True	True	True
Teiwa	twe	teiw1235	True	True	True	True
Tawala	tbo	tawa1275	True	True	True	True
Taulil	tuh	taul1251	True	True	True	True
Tariana	tae	tari1256	True	True	True	True
Tamambo	mla	malo1243	True	True	True	True
Tafi	tcd	tafi1243	True	True	True	True
Sudest	tgo	sude1239	True	True	True	True
Southern Rengma Naga	nre	sout2732	True	True	True	True
Southern Pumi	pmj	sout2729	True	True	True	True
South Efate	erk	sout2856	True	True	True	True
Sochiapam Chinantec	cso	soch1239	True	True	True	True
Siwai	siw	siwa1245	True	True	True	True
Siar-Lak	sjr	siar1238	True	True	True	True
Seze	sze	seze1235	True	True	True	True
Saliba	sbe	sali1295	True	True	True	True
Saisiyat	xsy	sais1237	True	True	True	True
Rembarunga	rmb	remb1249	True	True	True	True
Rapanui	rap	rapa1244	True	True	True	True
Qashqa'i	qxq	qash1240	True	True	True	True
Pukapuka	pkp	puka1242	True	True	True	True
Pitjantjatjara	pjt	pitj1243	True	True	True	True
Pijin	pis	piji1239	True	True	True	True
Pichi	fpe	fern1234	True	True	True	True
Patpatar	gfk	patp1243	True	True	True	True
Papapana	ppn	papa1265	True	True	True	True
Pamosu	hih	pamo1253	True	True	True	True
Paluai	blq	balu1257	True	True	True	True
Nyangbo	nyb	nyan1302	True	True	True	True
Nukna	klt	nukn1238	True	True	True	True
Northern Pumi	pmi	nort2723	True	True	True	True
North-Central Ju	knw	kung1261	True	True	True	True
North Ambrym	mmg	nort2839	True	True	True	True
Nobiin	fia	nobi1240	True	True	True	True
Neverver	lgk	ling1265	True	True	True	True
Neve'ei	vnm	vinm1237	True	True	True	True
Nese	NOCODE_Nese	nese1235	True	True	True	True
Nankina	nnk	nank1250	True	True	True	True
Nanggu	ngr	nang1262	True	True	True	True
Naman	lzl	litz1237	True	True	True	True
Namakura	nmk	nama1268	True	True	True	True
Nakanai	nak	naka1262	True	True	True	True
Mussau-Emira	emi	muss1246	True	True	True	True
Muduapa	wiv	mudu1242	True	True	True	True
Moskona	mtj	mosk1236	True	True	True	True
Mono-Alu	mte	mono1273	True	True	True	True
Momu-Fas	fqs	fass1245	True	True	True	True
Minigir	vmg	mini1251	True	True	True	True
Min Bei Chinese	mnp	minb1244	True	True	True	True
Mian	mpt	mian1256	True	True	True	True
Meyah	mej	meya1236	True	True	True	True
Merei	lmb	mere1242	True	True	True	True
Menya	mcr	meny1245	True	True	True	True
Mekeo	mek	meke1243	True	True	True	True
Mbula	mna	mbul1263	True	True	True	True
Maybrat-Karon	ayz	maib1239	True	True	True	True
Mauwake	mhl	mauw1238	True	True	True	True
Maskelynes	klv	mask1242	True	True	True	True
Maragus	mrs	mara1399	True	True	True	True
Manus Koro	kxr	bowa1234	True	True	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	True	True	True
Mangala	mem	mang1383	True	True	True	True
